image_id,case_id,record_type,status,label,evidence_strength,source_url,original_image_url,notes,license_verified_date,image_license,copyright_holder,license_source_url,redistribution_status,license_basis
PC_000001,CASE_0001,direct_image_reference,reference_verified,FALSIFIED,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/Botulinum.png,,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000002,CASE_0001,direct_image_reference,reference_verified,FALSIFIED,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/B2.png,,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000003,CASE_0001,direct_image_reference,reference_verified,FALSIFIED,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/B4.png,,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000004,CASE_0001,direct_image_reference,reference_verified,FALSIFIED,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/Allergan.png,,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000005,CASE_0001,direct_image_reference,reference_verified,FALSIFIED,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/150Units.png,,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000006,CASE_0001,direct_image_reference,reference_verified,FALSIFIED,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/Botox2.png,,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000007,CASE_0001,direct_image_reference,reference_verified,AUTHENTIC,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/100-allergan-toxina_0.png,FDA explicitly presents these as authentic FDA-approved Botox outer cartons.,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000008,CASE_0001,direct_image_reference,reference_verified,AUTHENTIC,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/100-abbvie.png,FDA explicitly presents these as authentic FDA-approved Botox outer cartons.,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000009,CASE_0001,direct_image_reference,reference_verified,AUTHENTIC,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/200-allergan.png,FDA explicitly presents these as authentic FDA-approved Botox outer cartons.,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000010,CASE_0001,direct_image_reference,reference_verified,AUTHENTIC,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/200-abbvie.png,FDA explicitly presents these as authentic FDA-approved Botox outer cartons.,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000011,CASE_0001,direct_image_reference,reference_verified,AUTHENTIC,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/50-allergan.png,FDA explicitly presents these as authentic FDA-approved Botox outer cartons.,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
PC_000012,CASE_0001,direct_image_reference,reference_verified,AUTHENTIC,E3,https://www.fda.gov/drugs/drug-alerts-and-statements/counterfeit-version-botox-found-multiple-states,https://www.fda.gov/files/50-allergan-aesthetics.png,FDA explicitly presents these as authentic FDA-approved Botox outer cartons.,2026-09-07,public_domain,"U.S. Food and Drug Administration, unless otherwise noted",https://www.fda.gov/about-fda/about-website/website-policies,permitted_pending_per_image_exception_check,FDA website policy states FDA website text and graphics are public domain unless otherwise noted.
