candidate_id,commons_title,status,relpath,sha256,bytes,fetched_url,note
BA_000007,File:'Coartem e fixe' poster showing medicine and mothers taking care of sick child (14467049780).jpg,prefiltered,,,,,title/credit names 'poster'
BA_000008,File:'Counsel's Opinion'; advert for Lamplough's Pyretic Saline Wellcome L0044885.jpg,prefiltered,,,,,title/credit names 'advert'
BA_000016,File:10mg Valium pill.jpg,prefiltered,,,,,native short side 95 px
BA_000032,File:2 10mg Valium pills.jpg,prefiltered,,,,,native short side 97 px
BA_000070,File:23.4% Sodium Chloride.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000083,File:610happu.JPG,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000084,File:64a01mdpqdyb1.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000086,File:999 cold relief drugs on shelf-20221206.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000087,File:999 gastric drugs on shelf-20221207.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000088,File:A Chinese Herbal soup from Yuen Sun Tong.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000089,File:A History Of Psychotropics - Flickr - schoschie.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000101,File:A boon-Hill's genuine magnetic anti-headache cap-A sure cure LCCN00650621.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000105,File:A clinical specialist with the Army Health Services Command prepares prescription cream for the out-patient pharmacy - DPLA - 03e3c2e919afbb65b7dc77c9b90ad17d.jpeg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000106,File:A container of tablets kept at the central Aflao Hospital.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000112,File:A display of drugs in Nigeria.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000123,File:A grimacing invalid seated before a bowl having received an Wellcome V0011213.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000124,File:A haggard old woman carelessly mixing a recipe for corns on Wellcome V0011141.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000125,File:A haggard old woman carelessly mixing a recipe for corns on Wellcome V0011142.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000126,File:A history of the German Baptist Brethren in Europe and America (1899) (14577574000).jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000127,File:A hypochondriac at home with his anxious nurse. Wood engravi Wellcome V0011262.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000128,File:A l'hôpital Laquintinie de Douala 14.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000129,File:A man grimacing at some unpleasant tasting medicine he has b Wellcome V0016566.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000130,File:A man grimacing at some unpleasant tasting medicine he has b Wellcome V0016567.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000131,File:A man pulling a peculiar face as he is about to take some me Wellcome V0011211.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
BA_000132,File:A man selling medicinal drugs to a woman in a bazaar in Cons Wellcome L0002916.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000133,File:A man selling medicinal drugs to a woman in a bazaar in Cons Wellcome V0010737.jpg,prefiltered,,,,,per-term cap 24 reached for 'Category:Pharmaceutical products'
BA_000134,"File:A man standing by a fire place, pulling a Wellcome V0011212.jpg",prefiltered,,,,,per-term cap 24 reached for 'Category:Medicine bottles'
