candidate_id,commons_title,page_url,image_url,mime,width,height,min_side,file_size_bytes,licence_short,licence_url,artist,credit,upload_date,found_via,query_term,harvest_date
BA_000001,"File:""Buy a bottle of Adamson's Balsam for that cough"" (back).jpg",https://commons.wikimedia.org/wiki/File:%22Buy_a_bottle_of_Adamson%27s_Balsam_for_that_cough%22_(back).jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/%22Buy_a_bottle_of_Adamson%27s_Balsam_for_that_cough%22_%28back%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,1007,1500,1007,620805,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Boston Public Library,https://www.flickr.com/photos/24029425@N06/8558187414/,2021-08-19T01:29:37Z,search,medicine bottle label,2026-09-09
BA_000002,"File:""Buy a bottle of Adamson's Balsam for that cough"" (front).jpg",https://commons.wikimedia.org/wiki/File:%22Buy_a_bottle_of_Adamson%27s_Balsam_for_that_cough%22_(front).jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/%22Buy_a_bottle_of_Adamson%27s_Balsam_for_that_cough%22_%28front%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,992,1500,992,698331,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Boston Public Library,https://www.flickr.com/photos/24029425@N06/8557078461/,2021-08-19T01:29:34Z,search,medicine bottle label,2026-09-09
BA_000003,"File:""Duma about Opanas"" by Eduard Bagritsky.png",https://commons.wikimedia.org/wiki/File:%22Duma_about_Opanas%22_by_Eduard_Bagritsky.png,https://upload.wikimedia.org/wikipedia/commons/e/e0/%22Duma_about_Opanas%22_by_Eduard_Bagritsky.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,1916,1060,1060,2177963,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Unknown authorUnknown author,Советский диафильм,2022-03-25T21:34:59Z,search,oxymorphone,2026-09-09
BA_000004,"File:""Frog In Your Throat?"" lozenges - DPLA - b063062b634c631b3588ad1ab2321e09 (page 1).jpg",https://commons.wikimedia.org/wiki/File:%22Frog_In_Your_Throat%3F%22_lozenges_-_DPLA_-_b063062b634c631b3588ad1ab2321e09_(page_1).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/%22Frog_In_Your_Throat%3F%22_lozenges_-_DPLA_-_b063062b634c631b3588ad1ab2321e09_%28page_1%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2512,2474,2474,1023885,Public domain,,Hance Brothers &amp; White Company,"This file was contributed to Wikimedia Commons by Science History Institute as part of a cooperation project. The donation was facilitated by the Digital Public Library of America, via its partner PA ",2023-01-07T17:53:39Z,search,medicine box package,2026-09-09
BA_000005,"File:""Frog In Your Throat?"" lozenges - DPLA - b063062b634c631b3588ad1ab2321e09 (page 2).jpg",https://commons.wikimedia.org/wiki/File:%22Frog_In_Your_Throat%3F%22_lozenges_-_DPLA_-_b063062b634c631b3588ad1ab2321e09_(page_2).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/%22Frog_In_Your_Throat%3F%22_lozenges_-_DPLA_-_b063062b634c631b3588ad1ab2321e09_%28page_2%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2512,2474,2474,986258,Public domain,,Hance Brothers &amp; White Company,"This file was contributed to Wikimedia Commons by Science History Institute as part of a cooperation project. The donation was facilitated by the Digital Public Library of America, via its partner PA ",2023-01-07T17:53:42Z,search,medicine box package,2026-09-09
BA_000006,File:'Calpol Suspension' delivery van Wellcome L0034049.jpg,https://commons.wikimedia.org/wiki/File:%27Calpol_Suspension%27_delivery_van_Wellcome_L0034049.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/%27Calpol_Suspension%27_delivery_van_Wellcome_L0034049.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2100,1436,1436,517390,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,,https://wellcomeimages.org/indexplus/obf_images/ed/17/d2025304dc3f3710ed34227bbbb0.jpg Gallery: https://wellcomeimages.org/indexplus/image/L0034049.html Wellcome Collection gallery (2018-03-21): https,2014-10-12T01:36:45Z,category,Category:Pharmaceutical products,2026-09-09
BA_000007,File:'Coartem e fixe' poster showing medicine and mothers taking care of sick child (14467049780).jpg,https://commons.wikimedia.org/wiki/File:%27Coartem_e_fixe%27_poster_showing_medicine_and_mothers_taking_care_of_sick_child_(14467049780).jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/%27Coartem_e_fixe%27_poster_showing_medicine_and_mothers_taking_care_of_sick_child_%2814467049780%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2896,1944,1944,1411650,Public domain,,President's Malaria Initiative,'Coartem e fixe' poster showing medicine and mothers taking care of sick child,2018-08-28T05:08:04Z,search,artemether lumefantrine,2026-09-09
BA_000008,File:'Counsel's Opinion'; advert for Lamplough's Pyretic Saline Wellcome L0044885.jpg,https://commons.wikimedia.org/wiki/File:%27Counsel%27s_Opinion%27;_advert_for_Lamplough%27s_Pyretic_Saline_Wellcome_L0044885.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/%27Counsel%27s_Opinion%27%3B_advert_for_Lamplough%27s_Pyretic_Saline_Wellcome_L0044885.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2760,4048,2760,2846872,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,,https://wellcomeimages.org/indexplus/obf_images/1a/21/1022d8f4053cb534d25419d7b6f2.jpg Gallery: https://wellcomeimages.org/indexplus/image/L0044885.html Wellcome Collection gallery (2018-03-21): https,2014-10-13T21:27:18Z,category,Category:Pharmaceutical products,2026-09-09
BA_000009,File:'Kepler' Cod Liver Oil with Malt Extract Wellcome L0074863.jpg,https://commons.wikimedia.org/wiki/File:%27Kepler%27_Cod_Liver_Oil_with_Malt_Extract_Wellcome_L0074863.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/%27Kepler%27_Cod_Liver_Oil_with_Malt_Extract_Wellcome_L0074863.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,5550,7487,5550,11298371,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,,https://wellcomeimages.org/indexplus/obf_images/25/56/72ce9420d8899bef720a111f3a08.jpg Gallery: https://wellcomeimages.org/indexplus/image/L0074863.html Wellcome Collection gallery (2018-03-21): https,2014-10-22T01:02:30Z,category,Category:Pharmaceutical products,2026-09-09
BA_000010,"File:'Laeyson's Odorous Powders', France, 1801-1900 Wellcome L0058940.jpg","https://commons.wikimedia.org/wiki/File:%27Laeyson%27s_Odorous_Powders%27,_France,_1801-1900_Wellcome_L0058940.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c5/%27Laeyson%27s_Odorous_Powders%27%2C_France%2C_1801-1900_Wellcome_L0058940.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2832,4256,2832,1587819,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,,https://wellcomeimages.org/indexplus/obf_images/89/9d/1e411545634eed11133f0fe74584.jpg Gallery: https://wellcomeimages.org/indexplus/image/L0058940.html Wellcome Collection gallery (2018-03-21): https,2014-10-17T16:24:05Z,category,Category:Medicine bottles,2026-09-09
BA_000011,File:-13wiki.jpg,https://commons.wikimedia.org/wiki/File:-13wiki.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/-13wiki.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,9967,12208,9967,42959755,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Park taeho,Own work,2021-02-04T08:00:34Z,category,Category:Pharmaceutical products,2026-09-09
