n,image_id,product_term,commons_page,license,attribution,verdict,reviewer,review_date,note
1,bx_auth_001,Category:Blister packs,https://commons.wikimedia.org/wiki/File:12-08-18-tilidin-retard.jpg,CC BY-SA 3.0,Ralf Roletschek,,,,
2,bx_auth_002,vitamin A capsules,https://commons.wikimedia.org/wiki/File:Assorted_pharmaceuticals_by_LadyofProcrastination.jpg,CC BY-SA 2.0,LadyofProcrastination,,,,
3,bx_auth_003,Category:Pharmaceutical products,https://commons.wikimedia.org/wiki/File:20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E5%8F%8D%E9%9D%A2.jpg,CC BY-SA 4.0,WFan,,,,
4,bx_auth_004,remdesivir,https://commons.wikimedia.org/wiki/File:Remdesivir.jpg,CC BY-SA 4.0,Doc James,,,,
5,bx_auth_005,COVID-19 vaccine vial,https://commons.wikimedia.org/wiki/File:A_vial_of_Moderna_COVID-19_vaccine_201229-F-ZB805-0008Y.jpg,Public domain,Senior Airman Madeline Herzog (according to Exif data),,,,
6,bx_auth_006,Comirnaty,https://commons.wikimedia.org/wiki/File:Comirnaty_Omicron_XBB.1.5_vial_and_influenza_vaccine_2023.jpg,CC BY-SA 4.0,Whispyhistory,,,,
7,bx_auth_007,propofol Diprivan,https://commons.wikimedia.org/wiki/File:Pofol.JPG,CC BY-SA 4.0,Behzad39,,,,
8,bx_auth_008,semaglutide Ozempic,https://commons.wikimedia.org/wiki/File:Rybelsus_14mg_bottle_angle_view.jpg,CC BY-SA 4.0,Grendelkhan,,,,
9,bx_auth_009,pharmaceutical packaging photograph,https://commons.wikimedia.org/wiki/File:Maaloxx_Old_Package.JPG,CC BY-SA 4.0,Fenerli1978,,,,
10,bx_auth_010,drug packaging box,https://commons.wikimedia.org/wiki/File:Ebivol.jpg,CC0,Anton0987654321,,,,
11,bx_auth_011,Augmentin,https://commons.wikimedia.org/wiki/File:Antibiotic_pills.jpg,CC BY-SA 4.0,Maksym Kozlenko,,,,
12,bx_auth_012,Category:Medicine bottles,"https://commons.wikimedia.org/wiki/File:6_boites_de_normison_7_%2B_1_boite_de_Victan_%2B_1_boite_de_nordaz_7,5.jpg",CC BY-SA 4.0,Gotgot44,,,,
13,bx_auth_013,artemether lumefantrine,https://commons.wikimedia.org/wiki/File:M%C3%A9dicament%CC%A0_coartem_contre_paludisme_(Malaria)_04.jpg,CC BY-SA 4.0,Adoscam,,,,
14,bx_auth_014,blister pack tablets,https://commons.wikimedia.org/wiki/File:Favipill_800_-_Favipiravir_Tablets_800_mg_-_Howrah_2023-05-15_9871.jpg,CC BY 3.0,Biswarup Ganguly,,,,
15,bx_auth_015,oxycodone OxyContin,https://commons.wikimedia.org/wiki/File:Oxycodone_Prescription_Bottle_with_Pills_Spilling_Out._(41201105871).jpg,CC BY 2.0,Cindy Shebley,,,,
16,bx_auth_016,Category:Drug packaging,https://commons.wikimedia.org/wiki/File:Tube_de_lysopaine.jpg,CC BY 4.0,Exilexi,,,,
17,bx_auth_017,hepatitis B vaccine,https://commons.wikimedia.org/wiki/File:Bimmuge-Hepatitis_B_Vaccines.jpg,CC BY-SA 4.0,melvil,,,,
18,bx_auth_018,medication carton,https://commons.wikimedia.org/wiki/File:LOVION_Chocolate_with_Ginseng_Carton_back_(55077022979).jpg,Public domain,The U.S. Food and Drug Administration,,,,
19,bx_auth_019,meningococcal vaccine,https://commons.wikimedia.org/wiki/File:Menitorix.jpg,CC BY-SA 4.0,Whispyhistory,,,,
20,bx_auth_020,diazepam,https://commons.wikimedia.org/wiki/File:Diazepam_stock_bottle_10mg_tabs.jpg,CC BY-SA 3.0,Tmeers91,,,,
21,bx_auth_021,phenobarbital,https://commons.wikimedia.org/wiki/File:Alnagon_-_Spofa_-_krabi%C4%8Dka_a_blistr.JPG,CC BY-SA 4.0,Jiří Dobrý,,,,
22,bx_auth_022,COVID-19 vaccine AstraZeneca,https://commons.wikimedia.org/wiki/File:Oxford_AstraZeneca_COVID-19_vaccine_(2021)_B.jpeg,CC0,gencat cat,,,,
23,bx_auth_023,vaccine vial box,https://commons.wikimedia.org/wiki/File:Pneumovax_23.jpg,Public domain,Waddie96,,,,
24,bx_auth_024,yellow fever vaccine,https://commons.wikimedia.org/wiki/File:Stamaril_FIN.jpg,CC BY-SA 4.0,Xepheid,,,,
25,bx_auth_025,Category:Tablets (pharmacy),https://commons.wikimedia.org/wiki/File:Acetylcystein_as_effervescent_tablet_branded_ACC_by_Sandoz.jpg,CC BY-SA 4.0,It's gonna be awesome,,,,
26,bx_auth_026,sofosbuvir,https://commons.wikimedia.org/wiki/File:Sovodak.jpg,CC0,Shahin Merat,,,,
27,bx_auth_027,Covishield,https://commons.wikimedia.org/wiki/File:Inicio_de_la_vacunaci%C3%B3n_contra_la_COVID-19_en_Costa_Rica_usando_la_dosis_de_AstraZeneca_02.jpg,CC BY-SA 4.0,Julieth Méndez/Presidencia de la República de Costa Rica,,,,
28,bx_auth_028,antimalarial tablets,https://commons.wikimedia.org/wiki/File:P_ALAXIN_TS_TABLET.jpg,CC0,Abdsomod,,,,
29,bx_auth_029,medicine box package,https://commons.wikimedia.org/wiki/File:Flickr_-_Israel_Defense_Forces_-_Expired_Medicine_Unloaded_Off_Gaza_Flotillas_(2).jpg,CC BY 2.0,Israel Defense Forces,,,,
30,bx_auth_030,semaglutide Ozempic,https://commons.wikimedia.org/wiki/File:Wegovy_-_Semaglutide.jpg,CC BY 4.0,Nelson R. de Lima Filho,,,,
