image_id,class_label,relpath_from_root,source,source_ref,product_identity,group_id,licence,attribution,candidate_id,min_hamming_to_pool,format,width,height,min_side,file_size_bytes,brightness
bx_auth_001,authentic,data/processed/balanced_external/authentic/bx_auth_001.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:12-08-18-tilidin-retard.jpg,Category:Blister packs,auth_001,CC BY-SA 3.0,Ralf Roletschek,BA_000021,10,JPEG,726,448,448,161309,0.5212399363517761
bx_auth_002,authentic,data/processed/balanced_external/authentic/bx_auth_002.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Assorted_pharmaceuticals_by_LadyofProcrastination.jpg,vitamin A capsules,auth_002,CC BY-SA 2.0,LadyofProcrastination,BA_000436,18,JPEG,603,448,448,73970,0.3952416479587555
bx_auth_003,authentic,data/processed/balanced_external/authentic/bx_auth_003.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E5%8F%8D%E9%9D%A2.jpg,Category:Pharmaceutical products,auth_003,CC BY-SA 4.0,WFan,BA_000056,18,JPEG,597,448,448,98924,0.5642824172973633
bx_auth_004,authentic,data/processed/balanced_external/authentic/bx_auth_004.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Remdesivir.jpg,remdesivir,auth_004,CC BY-SA 4.0,Doc James,BA_002987,18,JPEG,448,590,448,93200,0.6673311591148376
bx_auth_005,authentic,data/processed/balanced_external/authentic/bx_auth_005.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_vial_of_Moderna_COVID-19_vaccine_201229-F-ZB805-0008Y.jpg,COVID-19 vaccine vial,auth_005,Public domain,Senior Airman Madeline Herzog (according to Exif data),BA_000154,16,JPEG,672,448,448,59121,0.7139971256256104
bx_auth_006,authentic,data/processed/balanced_external/authentic/bx_auth_006.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Comirnaty_Omicron_XBB.1.5_vial_and_influenza_vaccine_2023.jpg,Comirnaty,auth_006,CC BY-SA 4.0,Whispyhistory,BA_000962,12,JPEG,530,448,448,105392,0.46644362807273865
bx_auth_007,authentic,data/processed/balanced_external/authentic/bx_auth_007.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pofol.JPG,propofol Diprivan,auth_007,CC BY-SA 4.0,Behzad39,BA_002783,16,JPEG,448,635,448,102374,0.4153684377670288
bx_auth_008,authentic,data/processed/balanced_external/authentic/bx_auth_008.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rybelsus_14mg_bottle_angle_view.jpg,semaglutide Ozempic,auth_008,CC BY-SA 4.0,Grendelkhan,BA_003030,16,JPEG,448,597,448,71515,0.6192631721496582
bx_auth_009,authentic,data/processed/balanced_external/authentic/bx_auth_009.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Maaloxx_Old_Package.JPG,pharmaceutical packaging photograph,auth_009,CC BY-SA 4.0,Fenerli1978,BA_001941,12,JPEG,448,797,448,79204,0.3715609610080719
bx_auth_010,authentic,data/processed/balanced_external/authentic/bx_auth_010.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ebivol.jpg,drug packaging box,auth_010,CC0,Anton0987654321,BA_001242,16,JPEG,597,448,448,55647,0.6293217539787292
bx_auth_011,authentic,data/processed/balanced_external/authentic/bx_auth_011.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Antibiotic_pills.jpg,Augmentin,auth_011,CC BY-SA 4.0,Maksym Kozlenko,BA_000364,16,JPEG,727,448,448,105881,0.5944741368293762
bx_auth_012,authentic,data/processed/balanced_external/authentic/bx_auth_012.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:6_boites_de_normison_7_%2B_1_boite_de_Victan_%2B_1_boite_de_nordaz_7,5.jpg",Category:Medicine bottles,auth_012,CC BY-SA 4.0,Gotgot44,BA_000082,16,JPEG,448,485,448,87642,0.5021809935569763
bx_auth_013,authentic,data/processed/balanced_external/authentic/bx_auth_013.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:M%C3%A9dicament%CC%A0_coartem_contre_paludisme_(Malaria)_04.jpg,artemether lumefantrine,auth_013,CC BY-SA 4.0,Adoscam,BA_002154,18,JPEG,597,448,448,163091,0.5988945364952087
bx_auth_014,authentic,data/processed/balanced_external/authentic/bx_auth_014.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Favipill_800_-_Favipiravir_Tablets_800_mg_-_Howrah_2023-05-15_9871.jpg,blister pack tablets,auth_014,CC BY 3.0,Biswarup Ganguly,BA_001352,16,JPEG,448,721,448,172649,0.680605411529541
bx_auth_015,authentic,data/processed/balanced_external/authentic/bx_auth_015.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Oxycodone_Prescription_Bottle_with_Pills_Spilling_Out._(41201105871).jpg,oxycodone OxyContin,auth_015,CC BY 2.0,Cindy Shebley,BA_002443,18,JPEG,672,448,448,62051,0.5726600289344788
