candidate_id,sheet,cell,commons_title,decision,exclusion_code,reason
BA_000001,sheet_01,r0c0,"File:""Buy a bottle of Adamson's Balsam for that cough"" (back).jpg",,,
BA_000002,sheet_01,r0c1,"File:""Buy a bottle of Adamson's Balsam for that cough"" (front).jpg",,,
BA_000003,sheet_01,r0c2,"File:""Duma about Opanas"" by Eduard Bagritsky.png",,,
BA_000005,sheet_01,r0c3,"File:""Frog In Your Throat?"" lozenges - DPLA - b063062b634c631b3588ad1ab2321e09 (page 2).jpg",,,
BA_000006,sheet_01,r0c4,File:'Calpol Suspension' delivery van Wellcome L0034049.jpg,,,
BA_000009,sheet_01,r0c5,File:'Kepler' Cod Liver Oil with Malt Extract Wellcome L0074863.jpg,,,
BA_000010,sheet_01,r1c0,"File:'Laeyson's Odorous Powders', France, 1801-1900 Wellcome L0058940.jpg",,,
BA_000012,sheet_01,r1c1,File:0.9% Normal Saline 100ml 001.jpg,,,
BA_000014,sheet_01,r1c2,File:001 2019 05 27 Augenpflege.jpg,,,
BA_000018,sheet_01,r1c3,File:110404-F-AM028-036 packs of IOSAT potassium iodide tablets.jpg,,,
BA_000019,sheet_01,r1c4,File:110905-F-XX000-102 (6157605712).jpg,,,
BA_000021,sheet_01,r1c5,File:12-08-18-tilidin-retard.jpg,,,
BA_000022,sheet_01,r2c0,File:120310-F-XC314-001 (6979611329).jpg,,,
BA_000025,sheet_01,r2c1,File:14418-broken-tamperproof-seal.jpg,,,
BA_000026,sheet_01,r2c2,File:150624-N-NK134-044 (19337199570).jpg,,,
BA_000027,sheet_01,r2c3,File:1909 Renault AX (Autoworld).jpg,,,
BA_000028,sheet_01,r2c4,File:1930s tin of codeine based painkillers by Apoteket Korpen Gothenburg Sweden.jpg,,,
BA_000029,sheet_01,r2c5,File:1940s Albyl acetylsalicylic acid tin by Aktiebolaget Leo Helsingborg Sweden.jpg,,,
BA_000030,sheet_01,r3c0,File:1950s Albyl acetylsalicylic acid tin by Aktiebolaget Leo Helsingborg Sweden.jpg,,,
BA_000031,sheet_01,r3c1,File:1989 Citroen AX GT.jpg,,,
BA_000033,sheet_01,r3c2,File:200mgTramadol.jpg,,,
BA_000034,sheet_01,r3c3,File:20100106-Indapamide-DSC00001.jpg,,,
BA_000035,sheet_01,r3c4,File:20120127-CefuroximeTablets-from-TKOH-SDC13826.JPG,,,
BA_000036,sheet_01,r3c5,File:20130613-IMG 2487 (9291287217).jpg,,,
BA_000039,sheet_01,r4c0,File:2016-03-05 sáb 182531 - Trimebutina Andrómaco.jpg,,,
BA_000040,sheet_01,r4c1,File:2016-08-03 Acofide ® Tablets 100mg （アコファイド®錠100mg、アコチアミド塩酸塩水和物）acotiamide hydrochloride hydrate DSCF5130.jpg,,,
BA_000047,sheet_01,r4c2,File:2017-05-31 Pepticol.jpg,,,
BA_000048,sheet_01,r4c3,File:2017-05-31 Pharmacy Museum in Kraków 4.jpg,,,
