artist,brightness,candidate_id,commons_title,decision,exclusion_code,file_size_bytes,format,grad,height,licence_short,min_hamming_to_pool,min_side,near_white_frac,page_url,path,quantized_colours,query_term,reason,width
Boston Public Library,0.6843140721321106,BA_000001,"File:""Buy a bottle of Adamson's Balsam for that cough"" (back).jpg",pending_review,,620805,JPEG,0.06714829802513123,1500,CC BY 2.0,18,1007,0.0,https://commons.wikimedia.org/wiki/File:%22Buy_a_bottle_of_Adamson%27s_Balsam_for_that_cough%22_(back).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000001.jpg,150,medicine bottle label,,1007
Boston Public Library,0.6857993006706238,BA_000002,"File:""Buy a bottle of Adamson's Balsam for that cough"" (front).jpg",pending_review,,698331,JPEG,0.03817740082740784,1500,CC BY 2.0,18,992,0.0,https://commons.wikimedia.org/wiki/File:%22Buy_a_bottle_of_Adamson%27s_Balsam_for_that_cough%22_(front).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000002.jpg,209,medicine bottle label,,992
Unknown authorUnknown author,0.7017696499824524,BA_000003,"File:""Duma about Opanas"" by Eduard Bagritsky.png",pending_review,,862731,PNG,0.06689123809337616,708,CC0,16,708,0.1097564697265625,https://commons.wikimedia.org/wiki/File:%22Duma_about_Opanas%22_by_Eduard_Bagritsky.png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000003.jpg,33,oxymorphone,,1280
Hance Brothers &amp; White Company,0.7345278859138489,BA_000004,"File:""Frog In Your Throat?"" lozenges - DPLA - b063062b634c631b3588ad1ab2321e09 (page 1).jpg",exclude,A_ACQUISITION_OUT_OF_BAND,444911,JPEG,0.02281276136636734,1261,Public domain,,1261,0.0146636962890625,https://commons.wikimedia.org/wiki/File:%22Frog_In_Your_Throat%3F%22_lozenges_-_DPLA_-_b063062b634c631b3588ad1ab2321e09_(page_1).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000004.jpg,811,medicine box package,"brightness 0.735 outside the counterfeit support [0.341, 0.714]",1280
Hance Brothers &amp; White Company,0.6629886031150818,BA_000005,"File:""Frog In Your Throat?"" lozenges - DPLA - b063062b634c631b3588ad1ab2321e09 (page 2).jpg",pending_review,,437097,JPEG,0.024773593991994858,1261,Public domain,14,1261,0.0,https://commons.wikimedia.org/wiki/File:%22Frog_In_Your_Throat%3F%22_lozenges_-_DPLA_-_b063062b634c631b3588ad1ab2321e09_(page_2).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000005.jpg,605,medicine box package,,1280
,0.6271041035652161,BA_000006,File:'Calpol Suspension' delivery van Wellcome L0034049.jpg,pending_review,,248361,JPEG,0.036475516855716705,875,CC BY 4.0,16,875,0.0,https://commons.wikimedia.org/wiki/File:%27Calpol_Suspension%27_delivery_van_Wellcome_L0034049.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000006.jpg,1353,Category:Pharmaceutical products,,1280
,0.6233121156692505,BA_000009,File:'Kepler' Cod Liver Oil with Malt Extract Wellcome L0074863.jpg,pending_review,,733824,JPEG,0.03388547524809837,1727,CC BY 4.0,18,1280,0.0,https://commons.wikimedia.org/wiki/File:%27Kepler%27_Cod_Liver_Oil_with_Malt_Extract_Wellcome_L0074863.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000009.jpg,269,Category:Pharmaceutical products,,1280
,0.3773728311061859,BA_000010,"File:'Laeyson's Odorous Powders', France, 1801-1900 Wellcome L0058940.jpg",pending_review,,436229,JPEG,0.01706365868449211,1924,CC BY 4.0,18,1280,0.000518798828125,"https://commons.wikimedia.org/wiki/File:%27Laeyson%27s_Odorous_Powders%27,_France,_1801-1900_Wellcome_L0058940.jpg",C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000010.jpg,565,Category:Medicine bottles,,1280
Park taeho,0.3394569456577301,BA_000011,File:-13wiki.jpg,exclude,A_ACQUISITION_OUT_OF_BAND,724247,JPEG,0.02507369965314865,1568,CC BY-SA 4.0,,1280,0.001617431640625,https://commons.wikimedia.org/wiki/File:-13wiki.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000011.jpg,1959,Category:Pharmaceutical products,"brightness 0.339 outside the counterfeit support [0.341, 0.714]",1280
أمين,0.6456268429756165,BA_000012,File:0.9% Normal Saline 100ml 001.jpg,pending_review,,132640,JPEG,0.00874014850705862,960,CC BY-SA 4.0,18,960,0.0,https://commons.wikimedia.org/wiki/File:0.9%25_Normal_Saline_100ml_001.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000012.jpg,253,Category:Pharmaceutical products,,1280
Pavel Dušek,0.9405251145362854,BA_000013,File:0.9% saline for intravenous use.jpg,exclude,A_ACQUISITION_OUT_OF_BAND,84815,JPEG,0.006804905831813812,1104,CC BY 4.0,,1104,0.2909698486328125,https://commons.wikimedia.org/wiki/File:0.9%25_saline_for_intravenous_use.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000013.jpg,395,Category:Pharmaceutical products,"brightness 0.941 outside the counterfeit support [0.341, 0.714]",1280
Friedrich Haag,0.5452834963798523,BA_000014,File:001 2019 05 27 Augenpflege.jpg,pending_review,,224357,JPEG,0.027683135122060776,820,CC BY-SA 4.0,18,820,1.52587890625e-05,https://commons.wikimedia.org/wiki/File:001_2019_05_27_Augenpflege.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000014.jpg,2559,Category:Pharmaceutical products,,1280
