image_id,pool,class_label,capture_pattern,modality,width,height,min_side,file_size_bytes,brightness,mean_r,mean_g,mean_b
kaggle_fake_real_medicine_abe9a0392b,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,410,624,410,339822,0.6347289681434631,0.7078220844268799,0.6560134887695312,0.540351152420044
kaggle_fake_real_medicine_f8bd42c191,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,509,637,509,496030,0.5178021788597107,0.540703535079956,0.5188859701156616,0.493817001581192
kaggle_fake_real_medicine_37f2de3e47,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,500,591,500,443273,0.5578336119651794,0.5817354321479797,0.5527008771896362,0.5390644073486328
kaggle_fake_real_medicine_bb072fcacf,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,367,556,367,299354,0.3773587644100189,0.3636718988418579,0.379154235124588,0.38925015926361084
kaggle_fake_real_medicine_9194880064,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,330,626,330,410100,0.5279211401939392,0.5424652099609375,0.5161564350128174,0.525141716003418
kaggle_fake_real_medicine_25067d5759,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,286,600,286,279735,0.4541771709918976,0.46135109663009644,0.45590150356292725,0.44527900218963623
kaggle_fake_real_medicine_b1ef0bed1a,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,339,355,339,168102,0.7301211953163147,0.8247338533401489,0.6505802273750305,0.7150496244430542
kaggle_fake_real_medicine_396d1f8c90,kaggle_modeling_pool,counterfeit,Screenshot*.png,blister,315,346,315,147001,0.6486873626708984,0.6665977835655212,0.642827033996582,0.6366373896598816
kaggle_fake_real_medicine_b309605a66,kaggle_modeling_pool,counterfeit,Screenshot*.png,packaging,497,268,268,145595,0.5505645871162415,0.5760847926139832,0.556679904460907,0.518929123878479
kaggle_fake_real_medicine_5c8597c371,kaggle_modeling_pool,counterfeit,Screenshot*.png,packaging,434,564,434,214698,0.66145259141922,0.6208027005195618,0.6729990243911743,0.6905560493469238
