image_id,orig_relpath,class_label,flag,notes,ai_suggested_flag
kaggle_fake_real_medicine_00001,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 173830.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00002,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 173925.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00003,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 173947.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00004,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174004.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00005,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174048.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00006,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174103.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00007,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174126.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00008,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174153.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00009,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174239.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00010,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174308.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00011,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174345.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00012,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174416.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00013,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174538.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00014,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174557.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00015,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174626.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00016,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174641.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00017,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174746.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00018,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174813.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00019,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174826.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00020,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174843.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00021,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 174948.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00022,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175006.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00023,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175026.png",counterfeit,clean,"",
kaggle_fake_real_medicine_00024,"../raw/kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 175208.png",counterfeit,clean,"",
