image_id,class_label,modality,notes
kaggle_fake_real_medicine_00001,counterfeit,,
kaggle_fake_real_medicine_00002,counterfeit,,
kaggle_fake_real_medicine_00003,counterfeit,,
kaggle_fake_real_medicine_00004,counterfeit,,
kaggle_fake_real_medicine_00005,counterfeit,,
kaggle_fake_real_medicine_00006,counterfeit,,
kaggle_fake_real_medicine_00007,counterfeit,,
kaggle_fake_real_medicine_00008,counterfeit,,
kaggle_fake_real_medicine_00009,counterfeit,,
kaggle_fake_real_medicine_00010,counterfeit,,
kaggle_fake_real_medicine_00011,counterfeit,,
kaggle_fake_real_medicine_00012,counterfeit,,
kaggle_fake_real_medicine_00013,counterfeit,,
kaggle_fake_real_medicine_00014,counterfeit,,
kaggle_fake_real_medicine_00015,counterfeit,,
kaggle_fake_real_medicine_00016,counterfeit,,
kaggle_fake_real_medicine_00017,counterfeit,,
kaggle_fake_real_medicine_00018,counterfeit,,
kaggle_fake_real_medicine_00019,counterfeit,,
kaggle_fake_real_medicine_00020,counterfeit,,
kaggle_fake_real_medicine_00021,counterfeit,,
kaggle_fake_real_medicine_00022,counterfeit,,
kaggle_fake_real_medicine_00023,counterfeit,,
kaggle_fake_real_medicine_00024,counterfeit,,
kaggle_fake_real_medicine_00025,counterfeit,,
kaggle_fake_real_medicine_00026,counterfeit,,
kaggle_fake_real_medicine_00027,counterfeit,,
kaggle_fake_real_medicine_00028,counterfeit,,
kaggle_fake_real_medicine_00029,counterfeit,,
kaggle_fake_real_medicine_00030,counterfeit,,
kaggle_fake_real_medicine_00031,counterfeit,,
kaggle_fake_real_medicine_00032,counterfeit,,
kaggle_fake_real_medicine_00033,counterfeit,,
kaggle_fake_real_medicine_00034,counterfeit,,
kaggle_fake_real_medicine_00035,counterfeit,,
kaggle_fake_real_medicine_00036,counterfeit,,
kaggle_fake_real_medicine_00037,counterfeit,,
kaggle_fake_real_medicine_00038,counterfeit,,
kaggle_fake_real_medicine_00039,counterfeit,,
kaggle_fake_real_medicine_00040,counterfeit,,
kaggle_fake_real_medicine_00041,counterfeit,,
kaggle_fake_real_medicine_00042,counterfeit,,
kaggle_fake_real_medicine_00043,counterfeit,,
kaggle_fake_real_medicine_00044,counterfeit,,
kaggle_fake_real_medicine_00045,counterfeit,,
kaggle_fake_real_medicine_00046,counterfeit,,
kaggle_fake_real_medicine_00047,counterfeit,,
kaggle_fake_real_medicine_00048,counterfeit,,
kaggle_fake_real_medicine_00049,counterfeit,,
kaggle_fake_real_medicine_00050,counterfeit,,
kaggle_fake_real_medicine_00051,counterfeit,,
kaggle_fake_real_medicine_00052,counterfeit,,
kaggle_fake_real_medicine_00053,counterfeit,,
kaggle_fake_real_medicine_00054,counterfeit,,
kaggle_fake_real_medicine_00055,counterfeit,,
kaggle_fake_real_medicine_00056,counterfeit,,
kaggle_fake_real_medicine_00057,counterfeit,,
kaggle_fake_real_medicine_00058,counterfeit,,
kaggle_fake_real_medicine_00059,counterfeit,,
kaggle_fake_real_medicine_00060,counterfeit,,
kaggle_fake_real_medicine_00061,counterfeit,,
kaggle_fake_real_medicine_00062,counterfeit,,
kaggle_fake_real_medicine_00063,counterfeit,,
kaggle_fake_real_medicine_00064,counterfeit,,
kaggle_fake_real_medicine_00065,counterfeit,,
kaggle_fake_real_medicine_00066,counterfeit,,
kaggle_fake_real_medicine_00067,counterfeit,,
kaggle_fake_real_medicine_00068,counterfeit,,
kaggle_fake_real_medicine_00069,counterfeit,,
kaggle_fake_real_medicine_00070,counterfeit,,
kaggle_fake_real_medicine_00071,counterfeit,,
kaggle_fake_real_medicine_00072,counterfeit,,
kaggle_fake_real_medicine_00073,counterfeit,,
