image_id,source_dataset,orig_relpath,class_label,product_identity,cluster_size,modality,apparent_capture_condition,width,height,format,notes
roboflow_counterfeit_med_detection_552035579b,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images4110_jpg.rf.a51e0991684677a14b9133060d820f1f.jpg,authentic,pid_00000,19,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_19
roboflow_counterfeit_med_detection_0d326e802f,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images239_jpg.rf.a540397ce79b45d1f9bb91b4662815e1.jpg,authentic,pid_00001,22,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_22
roboflow_counterfeit_med_detection_6cfbb5ec81,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images342_jpg.rf.a4eb8f802f5a983da235655539bb2cff.jpg,authentic,pid_00002,25,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_25
roboflow_counterfeit_med_detection_cd817d8d11,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images349_jpg.rf.a45a8680d4a5970bba93346bad1ed1b9.jpg,authentic,pid_00003,1,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,
roboflow_counterfeit_med_detection_54b90024ff,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images314_jpg.rf.a5086ebc5a1623d5efdbb3d7391d1649.jpg,authentic,pid_00004,5,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_5
roboflow_counterfeit_med_detection_74200db1e5,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images5097_jpg.rf.a4df7443dac11baeb0b36b3965d6c94b.jpg,authentic,pid_00005,28,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_28
roboflow_counterfeit_med_detection_2cb154a402,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images36_jpg.rf.a48f22d8fdf91da130c454497de884ea.jpg,authentic,pid_00006,37,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_37
roboflow_counterfeit_med_detection_e0f019891f,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images02_jpg.rf.a52f743680b9c9b5c64582a70139e3eb.jpg,authentic,pid_00007,14,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_14
roboflow_counterfeit_med_detection_23d5c173a5,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images15_jpg.rf.a490747ae66eb8b3075407a8c3ee1b9f.jpg,authentic,pid_00008,6,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_6
roboflow_counterfeit_med_detection_d1f95449fc,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images5034_jpg.rf.a49699cbfbc9b6b1d1173a59dfe2728b.jpg,authentic,pid_00009,19,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_19
roboflow_counterfeit_med_detection_6db26a9ff4,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images4060_jpg.rf.a4ce4bfe3ef3a874aa01866abc2132ab.jpg,authentic,pid_00010,56,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_56
roboflow_counterfeit_med_detection_84240a6b72,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images5041_jpg.rf.a526102f3fcdf9b3dba445669a264078.jpg,authentic,pid_00011,14,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_14
roboflow_counterfeit_med_detection_cf5c066973,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images4031_jpg.rf.a51b0a1065129520d6ad2cb49efb2d3e.jpg,authentic,pid_00012,23,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_23
roboflow_counterfeit_med_detection_fa1204569a,Roboflow - Counterfeit_med_detection (v4),roboflow\train\images5032_jpg.rf.a51bdf9d50613304f305581f8151e894.jpg,authentic,pid_00013,19,outer_packaging_or_product_photo,unclassified_needs_manual_review,640,640,JPEG,member_of_near_duplicate_cluster_size_19
