image_id,source_dataset,orig_relpath,class_label,min_hamming_distance_to_existing_pool
mendeley_split_c_00000,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(1).jpg,authentic,16
mendeley_split_c_00001,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(100).jpg,authentic,18
mendeley_split_c_00002,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(101).jpg,authentic,18
mendeley_split_c_00003,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(102).jpg,authentic,18
mendeley_split_c_00004,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(103).jpg,authentic,12
mendeley_split_c_00005,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(104).jpg,authentic,18
mendeley_split_c_00006,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(105).jpg,authentic,18
mendeley_split_c_00007,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(106).jpg,authentic,12
mendeley_split_c_00008,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(107).jpg,authentic,18
mendeley_split_c_00009,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(108).jpg,authentic,18
mendeley_split_c_00010,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(109).jpg,authentic,14
mendeley_split_c_00011,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(11).jpg,authentic,18
mendeley_split_c_00012,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(110).jpg,authentic,18
mendeley_split_c_00013,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(111).jpg,authentic,18
mendeley_split_c_00014,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(112).jpg,authentic,12
mendeley_split_c_00015,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(113).jpg,authentic,16
mendeley_split_c_00016,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(114).jpg,authentic,12
mendeley_split_c_00017,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(115).jpg,authentic,16
mendeley_split_c_00018,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(116).jpg,authentic,18
mendeley_split_c_00019,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(117).jpg,authentic,16
mendeley_split_c_00020,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(118).jpg,authentic,18
mendeley_split_c_00021,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(119).jpg,authentic,14
mendeley_split_c_00022,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(12).jpg,authentic,20
mendeley_split_c_00023,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(120).jpg,authentic,16
mendeley_split_c_00024,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(121).jpg,authentic,20
mendeley_split_c_00025,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(122).jpg,authentic,16
mendeley_split_c_00026,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(123).jpg,authentic,14
mendeley_split_c_00027,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(124).jpg,authentic,16
mendeley_split_c_00028,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(125).jpg,authentic,14
mendeley_split_c_00029,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(126).jpg,authentic,18
mendeley_split_c_00030,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(127).jpg,authentic,18
mendeley_split_c_00031,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(128).jpg,authentic,16
mendeley_split_c_00032,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(129).jpg,authentic,16
mendeley_split_c_00033,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(13).jpg,authentic,16
mendeley_split_c_00034,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(130).jpg,authentic,20
mendeley_split_c_00035,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(131).jpg,authentic,14
mendeley_split_c_00036,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(132).jpg,authentic,16
mendeley_split_c_00037,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(133).jpg,authentic,18
mendeley_split_c_00038,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(134).jpg,authentic,14
mendeley_split_c_00039,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(135).jpg,authentic,20
mendeley_split_c_00040,Mendeley - Mobile-Captured Pharmaceutical Medication Packages,mendeley_split_c/huawei_cn_(136).jpg,authentic,18
