image_id,case_id,manifest_label,source_organization,original_image_url,http_status,content_type,bytes,sha256,format,width,height,min_side,stored_relpath,image_license,redistribution_status,redistributable
PC_000001,CASE_0001,FALSIFIED,FDA,https://www.fda.gov/files/Botulinum.png,200,image/png,313792,75ae7fa9d5989acb29a619a8dbbdece83af1f19f6f14b210768402b5adbff753,PNG,333,523,333,split_e_regulatory/PC_000001.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000002,CASE_0001,FALSIFIED,FDA,https://www.fda.gov/files/B2.png,200,image/png,125215,e097b36a41dea72acf37a95e35a765658ca767e1971219655c8e4f1a95d457cf,PNG,335,131,131,split_e_regulatory/PC_000002.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000003,CASE_0001,FALSIFIED,FDA,https://www.fda.gov/files/B4.png,200,image/png,212046,62440972c6846ef8d80b118cb4108648c931fa9761971ed50cdccccbe3e0f6dd,PNG,365,206,206,split_e_regulatory/PC_000003.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000004,CASE_0001,FALSIFIED,FDA,https://www.fda.gov/files/Allergan.png,200,image/png,205726,bec7c49551b9241f2126e611365379e62773f00fccf6255252594612684bf497,PNG,232,495,232,split_e_regulatory/PC_000004.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000005,CASE_0001,FALSIFIED,FDA,https://www.fda.gov/files/150Units.png,200,image/png,233935,41fc2db417983c44c489b1c381e291f899d020f93f3dcc7719935cfbacb616a5,PNG,248,507,248,split_e_regulatory/PC_000005.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000006,CASE_0001,FALSIFIED,FDA,https://www.fda.gov/files/Botox2.png,200,image/png,135566,8ce56367c415c8855eafe7c871ba55a8f28990585fd7fe8ddd97995554c1c9ce,PNG,173,345,173,split_e_regulatory/PC_000006.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000007,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/100-allergan-toxina_0.png,200,image/png,43833,3307965a573a15bd66fa027aab2c196bb555a716862cd64d785a7adb3dcec8e5,PNG,328,545,328,split_e_regulatory/PC_000007.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000008,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/100-abbvie.png,200,image/png,42050,821958a03bd809f73fcdc34be0a42f2a1ae074d13c78f99a6500cc3f74a6543a,PNG,328,545,328,split_e_regulatory/PC_000008.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000009,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/200-allergan.png,200,image/png,43975,4e845592040c3bfe0605a69dfdfa7b916fcfe967c97156940c74f09fbca0bfaa,PNG,330,546,330,split_e_regulatory/PC_000009.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000010,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/200-abbvie.png,200,image/png,40949,352e2ad8a3281b2296566aa2cba41982deaabc55703f6861b17bd824a56ad002,PNG,328,543,328,split_e_regulatory/PC_000010.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000011,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/50-allergan.png,200,image/png,42040,e13db6b51b8317bd38a88f807ad88fed1b8e954db85842977814ab03844f92f0,PNG,331,550,331,split_e_regulatory/PC_000011.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000012,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/50-allergan-aesthetics.png,200,image/png,44115,8df276d36f4ca636897eb00574fe4a1ac007385c19733c779f739f0275db1c8b,PNG,329,544,329,split_e_regulatory/PC_000012.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000013,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/100-allergan.png,200,image/png,41502,775a4fb0799bcd8a46753b0958123c8d12a33cc10dba615de5b14b376981d631,PNG,328,546,328,split_e_regulatory/PC_000013.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000014,CASE_0001,AUTHENTIC,FDA,https://www.fda.gov/files/100-allergan-aesthetics.png,200,image/png,43261,e054c0666ca71ac93907429d50f3827a2ac3a0198549dd9427afd21d6e8a1715,PNG,326,543,326,split_e_regulatory/PC_000014.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000015,CASE_0002,AUTHENTIC,FDA,https://www.fda.gov/media/91361/download,200,image/png,175865,520abae85520b544b3935f2814fb03d73f7ece10bfd4f0bf6345b4e21f0ff6dc,PNG,300,323,300,split_e_regulatory/PC_000015.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000016,CASE_0002,FALSIFIED,FDA,https://www.fda.gov/media/91395/download,200,image/png,906506,6836e0f4e14325a8835cd12934fb09218566d666ca0582a545e2d987495d9b5b,PNG,440,735,440,split_e_regulatory/PC_000016.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000017,CASE_0002,FALSIFIED,FDA,https://www.fda.gov/media/91378/download,200,image/jpeg,7939,f1e934635685d61ac992a8bc22b7d9c9eef3e97dd0d8ff8babdddefa418492bf,JPEG,160,271,160,split_e_regulatory/PC_000017.jpg,public_domain,permitted_pending_per_image_exception_check,True
PC_000018,CASE_0002,FALSIFIED,FDA,https://www.fda.gov/media/91422/download,200,image/png,120605,babacafc13f742790296b472f811af761814d7532ff9f347fc040508997db8b0,PNG,168,272,168,split_e_regulatory/PC_000018.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000019,CASE_0002,FALSIFIED,FDA,https://www.fda.gov/media/91431/download,200,image/png,41114,3c5b12775c867fdf36e6ebd9669d848f3e24bd1cec233fd02245d6257d2c2ccc,PNG,150,162,150,split_e_regulatory/PC_000019.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000020,CASE_0003,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-1/photo1verorab-h1833-10-2020-en.jpg?sfvrsn=796eaebc_2,200,image/jpeg,72068,7a9e6e3808a19d05127155f12344bafd1cf39c898f120672b8faaff5c3b63710,JPEG,580,327,327,split_e_regulatory/PC_000020.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000021,CASE_0003,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-1/photo2verorab-h1833-10-2020-en.jpg?sfvrsn=a1a4b7ea_2,200,image/jpeg,75206,1df51efe5ae4c841fd5ae789b18713836c4e6e7cff45d39ad09fccee67d2beb9,JPEG,500,316,316,split_e_regulatory/PC_000021.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000022,CASE_0003,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-1/photo3verorab-h7720-10-2020or10-2021-en.jpg?sfvrsn=3c5b909e_2,200,image/jpeg,18235,3e5320f9aa3c8dcec79661010b0d38256332ebcb932e485f330e4e6fc9b39b4a,JPEG,293,550,293,split_e_regulatory/PC_000022.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000023,CASE_0003,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-1/verorab-nie35-04-2019-en.jpg?sfvrsn=bc02610e_2,200,image/jpeg,45251,20ee7759d17f992d0a84f380c0575ccaa046ad5fa535ef9e9f3be0b9b70adc51,JPEG,380,618,380,split_e_regulatory/PC_000023.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000024,CASE_0004,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-10/en-quinine-sulphate-bp300mg-batch7711006.jpg?sfvrsn=e05c200d_2,200,image/jpeg,41978,ecd9208dac83aebe3672c9678f161cd39c0b078e0de6376e3f25705c7d84e665,JPEG,370,559,370,split_e_regulatory/PC_000024.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000025,CASE_0004,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-10/en-quinine-sulphate-bp800mgbatch-number00952005.jpg?sfvrsn=c7c13c56_2,200,image/jpeg,46963,326a7fbe9af7eca5ed29689dc2abd05f309705a93a7df46c73732d1a0331128a,JPEG,465,506,465,split_e_regulatory/PC_000025.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000026,CASE_0004,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-10/en-quinine-bisulphate-bp300mgbatch-number7422.jpg?sfvrsn=85f520d9_2,200,image/jpeg,34796,606a40463e468c15ddca32c10067e03a509a266dfb5a0412d361f9681c6cc143,JPEG,427,478,427,split_e_regulatory/PC_000026.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000027,CASE_0004,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/drug-alert-10/en-quinine-sulphate-bp800mgbatch-number7711004.jpg?sfvrsn=e0f53637_2,200,image/jpeg,56603,71bee2fac862d6d7fd0d06ed07f63faa9f083bab7d60699b2c48355c771da3ac,JPEG,479,596,479,split_e_regulatory/PC_000027.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000028,CASE_0005,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/2020/3-bottlesb86fd88060c04ec894a8dcc53941af66.jpg?sfvrsn=496b352f_1,200,image/jpeg,28968,6bda37e04ce989f7f7954f4c22655f16eb51716a706713f7df42f6dda214a704,JPEG,459,298,298,split_e_regulatory/PC_000028.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000029,CASE_0005,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/2020/falsified-quninine-modfied-picture-part.jpg?sfvrsn=ae4892d2_1,200,image/jpeg,656560,5c56404381d74d3a750049d6704bb29e6854051e0157e480f8889805d6e3c274,JPEG,2053,1118,1118,split_e_regulatory/PC_000029.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000030,CASE_0005,FALSIFIED,WHO,https://cdn.who.int/media/images/default-source/health-topics/essential-medicines/chad-tablets-labels.jpg?sfvrsn=4fad69d0_1,200,image/jpeg,70303,33677c323c57b5bbbe981d7889e18f835daa5b20ab36671d2208b9c7cb82aa0e,JPEG,961,258,258,split_e_regulatory/PC_000030.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000031,CASE_0005,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/2020/quininesulphate-remedica-44680-two-exp-dates.tmb-340v.jpg?Culture=en&sfvrsn=636f5f0f_2,200,image/jpeg,14916,490cea02bb17e65c8ce982e856ac70476a1caef3746ff8cd49fad0bb9e2d688a,JPEG,340,453,340,split_e_regulatory/PC_000031.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000032,CASE_0005,FALSIFIED,WHO,https://www.who.int/images/default-source/departments/essential-medicines/2019-drugs-alert/2020/quininesulphate-44680-10-2020.tmb-300v.jpg?Culture=en&sfvrsn=3772d81b_2,200,image/jpeg,16176,bea9baa8b987ff64b658df3f7bfc95e719bade08b6721bf650647aded7f65892,JPEG,300,400,300,split_e_regulatory/PC_000032.jpg,unknown_permission_required,metadata_only_permission_required,False
PC_000033,CASE_0006,UNVERIFIED,FDA,https://www.fda.gov/files/Ozempic%20Real%20vs%20Counterfeit.png,200,image/png,2189868,2190c17699b8cf5a185a441482ae13b2e157ca89790b1e900a9e811c2d4d5182,PNG,1396,742,742,split_e_regulatory/PC_000033.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000034,CASE_0006,UNVERIFIED,FDA,https://www.fda.gov/files/Counterfeit%20Ozempic%20Label.png,200,image/png,4418316,176976092fc7accc002147bd4652912410686959624657746035d516e3962811,PNG,2157,1194,1194,split_e_regulatory/PC_000034.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000035,CASE_0006,UNVERIFIED,FDA,https://www.fda.gov/files/counterfeit_Ozempic_label_0.png,200,image/png,180970,cb4946fad11fc0ac357f8ff80268b83824bf8f4c07d7954c0b28f36ace292c51,PNG,452,255,255,split_e_regulatory/PC_000035.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000036,CASE_0006,UNVERIFIED,FDA,https://www.fda.gov/files/Ozempic_needle_0.jpg,200,image/jpeg,40838,177fe49f96fe84ec53aa97e87ddea3b341bda99401a5deb405db3517ee1eb174,JPEG,565,325,325,split_e_regulatory/PC_000036.jpg,public_domain,permitted_pending_per_image_exception_check,True
PC_000037,CASE_0006,UNVERIFIED,FDA,https://www.fda.gov/files/Ozempic_needle_2_0.jpg,200,image/jpeg,83658,163dcb4bee5cae27bf1f39bd0aa61b47777658015f512b5ebe3f946691bf49e1,JPEG,562,580,562,split_e_regulatory/PC_000037.jpg,public_domain,permitted_pending_per_image_exception_check,True
PC_000038,CASE_0007,UNVERIFIED,FDA,https://www.fda.gov/files/styles/recall_image_small/public/image_3_50.png?itok=WWc5DXuh,200,image/png,237375,544f83cfb4655480dac8316c8ee697da6aa87bd80a93ae93ebbfc4508e8f066d,PNG,371,274,274,split_e_regulatory/PC_000038.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000039,CASE_0007,UNVERIFIED,FDA,https://www.fda.gov/files/styles/recall_image_small/public/image_1_117.png?itok=beMBIcpV,200,image/png,340617,e06d60bf805a09d41b08726170b8a0cf438db0628d9cacdb9772f2e7a7a65a56,PNG,480,667,480,split_e_regulatory/PC_000039.png,public_domain,permitted_pending_per_image_exception_check,True
PC_000040,CASE_0007,UNVERIFIED,FDA,https://www.fda.gov/files/styles/recall_image_small/public/image_2_85.png?itok=CVT_srHG,200,image/png,469111,416ff02f6715370bdaa0b4dd2fc56bd64207b53eb48d5e2b1b4c5efd15c88ebd,PNG,480,722,480,split_e_regulatory/PC_000040.png,public_domain,permitted_pending_per_image_exception_check,True
