image_id,manifest_label,decision,exclusion_code,panel_composite,label_crop,reviewer,review_date,reason
PC_000001,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified Botox carton.
PC_000002,FALSIFIED,include,,yes,yes,claude_first_pass,2026-09-07,Two-panel crop of carton label and hologram; both panels photographic and same class.
PC_000003,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,Three-panel montage of carton faces; photographic and same class; no burned-in caption.
PC_000004,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vial.
PC_000005,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vial.
PC_000006,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vial.
PC_000007,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork supplied as a reference image of the genuine label; not a photograph of a physical product.
PC_000008,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000009,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000010,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000011,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000012,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000013,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000014,AUTHENTIC,exclude,X_NOT_PHOTOGRAPH,no,no,claude_first_pass,2026-09-07,Flat vector carton artwork; not a photograph.
PC_000015,AUTHENTIC,exclude,X_CLASS_TOO_SMALL,no,no,claude_first_pass,2026-09-07,Genuine photograph of an authentic vial and the only authentic-class image to survive the other screens; one image is not a class. Retained in the manifest and excluded from the evaluation set so that Split E is reported honestly as falsified-only.
PC_000016,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vial.
PC_000017,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vial.
PC_000018,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified carton.
PC_000019,FALSIFIED,include,,no,yes,claude_first_pass,2026-09-07,"Photographic close-up of a printed carton panel (lot/MFG/EXP block). Reclassified from X_TEXT_ONLY on 2026-09-07: that code covers rendered tables with no photographic content, and applying it here contradicted the harvest screen's treatment of identical label crops."
PC_000020,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vaccine carton.
PC_000021,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified vial and ampoule tray.
PC_000022,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified carton back panel.
PC_000023,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified carton panel.
PC_000024,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified bottle.
PC_000025,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified bottle.
PC_000026,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified bottle.
PC_000027,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified bottle.
PC_000028,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of three falsified containers.
PC_000029,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of falsified tablets in dishes.
PC_000030,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,Two-panel montage of label and tablets against a scale rule; photographic and same class.
PC_000031,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of two falsified containers.
PC_000032,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of a falsified container.
PC_000033,UNVERIFIED,exclude,X_MIXED_CLASS,yes,no,claude_first_pass,2026-09-07,"Regulator comparison figure captioned ""Authentic Ozempic Images | Counterfeit Images""; one frame contains both classes and cannot carry a binary label."
