image_id,manifest_label,decision,exclusion_code,panel_composite,label_crop,reviewer,review_date,reason
HV_000001_x41,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000001_x42,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000001_x43,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000001_x44,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000002_x17,FALSIFIED,exclude,X_NOT_PRODUCT,no,no,claude_first_pass,2026-09-07,The World Health Organization corporate logo; no medical product depicted.
HV_000002_x37,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000002_x38,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000002_x39,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000002_x40,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000011_x49,FALSIFIED,include,,no,yes,claude_first_pass,2026-09-07,Photographic close-up of printed packaging (label or carton panel).
HV_000011_x50,FALSIFIED,include,,no,yes,claude_first_pass,2026-09-07,Photographic close-up of printed packaging (label or carton panel).
HV_000019_x25,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000019_x40,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000019_x49,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000035_x24,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000036_x24,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000036_x29,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000045_x38,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000060,FALSIFIED,exclude,X_TEXT_ONLY,no,no,claude_first_pass,2026-09-07,Rendered product-details table; no photographic content.
HV_000062_x28,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000069,FALSIFIED,exclude,X_BANNER_COMPOSITE,no,no,claude_first_pass,2026-09-07,Rendered table with burned-in field labels around inset photographs.
HV_000070_x34,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000070_x35,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000070_x48,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
HV_000078_x36,FALSIFIED,include,,yes,no,claude_first_pass,2026-09-07,"Multi-panel montage of one product; photographic, single class, no burned-in caption."
HV_000096_x28,FALSIFIED,include,,no,no,claude_first_pass,2026-09-07,Single photograph of the falsified product or its packaging.
