image_id,manifest_label,decision,exclusion_code,in_split_e,source_organization,width,height,min_side,file_size_bytes,brightness
HV_000001_x41,FALSIFIED,include,,True,WHO,364,384,364,285366,0.4942433834075928
HV_000001_x42,FALSIFIED,include,,True,WHO,493,457,457,377319,0.536521852016449
HV_000001_x43,FALSIFIED,include,,True,WHO,549,234,234,118055,0.5223067998886108
HV_000001_x44,FALSIFIED,include,,True,WHO,824,696,696,602077,0.5160807967185974
HV_000002_x17,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,398,123,123,35542,0.7337306141853333
HV_000002_x37,FALSIFIED,include,,True,WHO,700,848,700,775395,0.4594557285308838
HV_000002_x38,FALSIFIED,include,,True,WHO,727,918,727,966041,0.5540977120399475
HV_000002_x39,FALSIFIED,include,,True,WHO,700,917,700,876598,0.5347369313240051
HV_000002_x40,FALSIFIED,include,,True,WHO,726,801,726,716497,0.6805558800697327
HV_000011_x49,FALSIFIED,include,,True,WHO,269,197,197,82944,0.544553279876709
HV_000011_x50,FALSIFIED,include,,True,WHO,768,345,345,373299,0.39772963523864746
HV_000019_x25,FALSIFIED,include,,True,WHO,372,360,360,171399,0.5655902028083801
HV_000019_x40,FALSIFIED,include,,True,WHO,617,837,617,507933,0.5277541875839233
HV_000019_x49,FALSIFIED,include,,True,WHO,652,475,475,268859,0.6620286107063293
HV_000035_x24,FALSIFIED,include,,True,WHO,1364,906,906,1473047,0.8366172313690186
HV_000036_x24,FALSIFIED,include,,True,WHO,940,698,698,537429,0.5250440239906311
HV_000036_x29,FALSIFIED,include,,True,WHO,1008,525,525,519186,0.6664767861366272
HV_000045_x38,FALSIFIED,include,,True,WHO,838,799,799,721374,0.713191568851471
HV_000060,FALSIFIED,exclude,X_TEXT_ONLY,False,WHO,1337,317,317,43597,0.8887283205986023
HV_000062_x28,FALSIFIED,include,,True,WHO,505,453,453,388961,0.4656914174556732
HV_000069,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,671,477,477,401723,0.6866125464439392
HV_000070_x34,FALSIFIED,include,,True,WHO,834,787,787,982156,0.421440988779068
HV_000070_x35,FALSIFIED,include,,True,WHO,915,767,767,972921,0.41971221566200256
HV_000070_x48,FALSIFIED,include,,True,WHO,549,588,549,459417,0.6571544408798218
HV_000078_x36,FALSIFIED,include,,True,WHO,551,750,551,610057,0.6202219128608704
HV_000096_x28,FALSIFIED,include,,True,WHO,264,546,264,177285,0.3411697447299957
HV_000103,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,400,272,272,78774,0.7728579640388489
HV_000104_x39,FALSIFIED,include,,True,WHO,801,466,466,507064,0.6297491192817688
HV_000104_x40,FALSIFIED,exclude,X_ANNOTATED,False,WHO,774,450,450,387116,0.6510496735572815
HV_000104_x41,FALSIFIED,exclude,X_ANNOTATED,False,WHO,791,460,460,561628,0.5221682786941528
HV_000116_x55,FALSIFIED,include,,True,WHO,592,373,373,262513,0.668217658996582
HV_000116_x56,FALSIFIED,include,,True,WHO,191,364,191,122548,0.5943161845207214
HV_000123,FALSIFIED,exclude,X_TEXT_ONLY,False,WHO,1372,468,468,61189,0.8876544833183289
HV_000124,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,572,676,572,299703,0.8452735543251038
HV_000125_x49,FALSIFIED,include,,True,WHO,293,336,293,214072,0.5376302599906921
HV_000125_x50,FALSIFIED,include,,True,WHO,270,283,270,124534,0.4997992515563965
HV_000125_x53,FALSIFIED,include,,True,WHO,317,336,317,142851,0.5379416942596436
HV_000125_x54,FALSIFIED,include,,True,WHO,347,300,300,184604,0.5031364560127258
HV_000133_x54,FALSIFIED,include,,True,WHO,1143,860,860,670405,0.5967798829078674
HV_000133_x59,FALSIFIED,include,,True,WHO,506,743,506,285686,0.56484055519104
HV_000133_x66,FALSIFIED,include,,True,WHO,996,717,717,852468,0.6880884766578674
HV_000135_x60,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,1021,574,574,1101606,0.29941311478614807
HV_000135_x62,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,1021,574,574,1087208,0.3211694061756134
HV_000135_x63,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,1021,574,574,893521,0.3850308656692505
HV_000135_x65,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,951,655,655,673782,0.7623561024665833
HV_000135_x66,FALSIFIED,exclude,X_NOT_PRODUCT,False,WHO,1034,519,519,73723,0.9871955513954163
HV_000145_x47,FALSIFIED,include,,True,WHO,1314,539,539,629540,0.8576324582099915
HV_000145_x48,FALSIFIED,include,,True,WHO,1358,615,615,1281090,0.6759698987007141
HV_000153_x35,FALSIFIED,include,,True,WHO,571,455,455,464383,0.572438657283783
HV_000153_x36,FALSIFIED,include,,True,WHO,622,174,174,190251,0.7294839024543762
HV_000162_x42,FALSIFIED,include,,True,WHO,483,1025,483,958888,0.5099807381629944
HV_000162_x44,FALSIFIED,include,,True,WHO,474,1025,474,852553,0.36958393454551697
HV_000170_x50,FALSIFIED,include,,True,WHO,253,472,253,157633,0.746833860874176
HV_000170_x51,FALSIFIED,include,,True,WHO,345,566,345,241069,0.6276412010192871
HV_000177,FALSIFIED,exclude,X_TEXT_ONLY,False,WHO,883,243,243,30352,0.8703815340995789
HV_000178,FALSIFIED,exclude,X_BANNER_COMPOSITE,False,WHO,568,395,395,237315,0.8233689665794373
HV_000179_x34,FALSIFIED,include,,True,WHO,700,642,642,871904,0.6179422736167908
HV_000180_x36,FALSIFIED,include,,True,WHO,466,377,377,250101,0.5825278162956238
HV_000180_x38,FALSIFIED,include,,True,WHO,446,230,230,165107,0.2419261485338211
HV_000189_x11,FALSIFIED,include,,True,WHO,345,566,345,226802,0.5403253436088562
HV_000189_x7,FALSIFIED,include,,True,WHO,416,570,416,346968,0.5901906490325928
HV_000189_x9,FALSIFIED,include,,True,WHO,288,567,288,201075,0.4703185558319092
