image_id,orig_relpath,base_source_relpath,class_label,data_origin,generation_seed
synthetic_counterfeit_00000,synthetic_counterfeit/synthetic_counterfeit_00000.jpg,mendeley_split_c/huawei_cn_(1).jpg,counterfeit,synthetic_counterfeit_proxy,6320
synthetic_counterfeit_00001,synthetic_counterfeit/synthetic_counterfeit_00001.jpg,mendeley_split_c/huawei_cn_(100).jpg,counterfeit,synthetic_counterfeit_proxy,12532
synthetic_counterfeit_00002,synthetic_counterfeit/synthetic_counterfeit_00002.jpg,mendeley_split_c/huawei_cn_(101).jpg,counterfeit,synthetic_counterfeit_proxy,76063
synthetic_counterfeit_00003,synthetic_counterfeit/synthetic_counterfeit_00003.jpg,mendeley_split_c/huawei_cn_(102).jpg,counterfeit,synthetic_counterfeit_proxy,20839
synthetic_counterfeit_00004,synthetic_counterfeit/synthetic_counterfeit_00004.jpg,mendeley_split_c/huawei_cn_(103).jpg,counterfeit,synthetic_counterfeit_proxy,64621
synthetic_counterfeit_00005,synthetic_counterfeit/synthetic_counterfeit_00005.jpg,mendeley_split_c/huawei_cn_(104).jpg,counterfeit,synthetic_counterfeit_proxy,38615
synthetic_counterfeit_00006,synthetic_counterfeit/synthetic_counterfeit_00006.jpg,mendeley_split_c/huawei_cn_(105).jpg,counterfeit,synthetic_counterfeit_proxy,81028
synthetic_counterfeit_00007,synthetic_counterfeit/synthetic_counterfeit_00007.jpg,mendeley_split_c/huawei_cn_(106).jpg,counterfeit,synthetic_counterfeit_proxy,13461
synthetic_counterfeit_00008,synthetic_counterfeit/synthetic_counterfeit_00008.jpg,mendeley_split_c/huawei_cn_(107).jpg,counterfeit,synthetic_counterfeit_proxy,97275
synthetic_counterfeit_00009,synthetic_counterfeit/synthetic_counterfeit_00009.jpg,mendeley_split_c/huawei_cn_(108).jpg,counterfeit,synthetic_counterfeit_proxy,72416
synthetic_counterfeit_00010,synthetic_counterfeit/synthetic_counterfeit_00010.jpg,mendeley_split_c/huawei_cn_(109).jpg,counterfeit,synthetic_counterfeit_proxy,33110
synthetic_counterfeit_00011,synthetic_counterfeit/synthetic_counterfeit_00011.jpg,mendeley_split_c/huawei_cn_(11).jpg,counterfeit,synthetic_counterfeit_proxy,20667
synthetic_counterfeit_00012,synthetic_counterfeit/synthetic_counterfeit_00012.jpg,mendeley_split_c/huawei_cn_(110).jpg,counterfeit,synthetic_counterfeit_proxy,69212
synthetic_counterfeit_00013,synthetic_counterfeit/synthetic_counterfeit_00013.jpg,mendeley_split_c/huawei_cn_(111).jpg,counterfeit,synthetic_counterfeit_proxy,81363
synthetic_counterfeit_00014,synthetic_counterfeit/synthetic_counterfeit_00014.jpg,mendeley_split_c/huawei_cn_(112).jpg,counterfeit,synthetic_counterfeit_proxy,28537
synthetic_counterfeit_00015,synthetic_counterfeit/synthetic_counterfeit_00015.jpg,mendeley_split_c/huawei_cn_(113).jpg,counterfeit,synthetic_counterfeit_proxy,71633
synthetic_counterfeit_00016,synthetic_counterfeit/synthetic_counterfeit_00016.jpg,mendeley_split_c/huawei_cn_(114).jpg,counterfeit,synthetic_counterfeit_proxy,68089
synthetic_counterfeit_00017,synthetic_counterfeit/synthetic_counterfeit_00017.jpg,mendeley_split_c/huawei_cn_(115).jpg,counterfeit,synthetic_counterfeit_proxy,33541
synthetic_counterfeit_00018,synthetic_counterfeit/synthetic_counterfeit_00018.jpg,mendeley_split_c/huawei_cn_(116).jpg,counterfeit,synthetic_counterfeit_proxy,91744
synthetic_counterfeit_00019,synthetic_counterfeit/synthetic_counterfeit_00019.jpg,mendeley_split_c/huawei_cn_(117).jpg,counterfeit,synthetic_counterfeit_proxy,8116
synthetic_counterfeit_00020,synthetic_counterfeit/synthetic_counterfeit_00020.jpg,mendeley_split_c/huawei_cn_(118).jpg,counterfeit,synthetic_counterfeit_proxy,62829
synthetic_counterfeit_00021,synthetic_counterfeit/synthetic_counterfeit_00021.jpg,mendeley_split_c/huawei_cn_(119).jpg,counterfeit,synthetic_counterfeit_proxy,78182
synthetic_counterfeit_00022,synthetic_counterfeit/synthetic_counterfeit_00022.jpg,mendeley_split_c/huawei_cn_(12).jpg,counterfeit,synthetic_counterfeit_proxy,85592
synthetic_counterfeit_00023,synthetic_counterfeit/synthetic_counterfeit_00023.jpg,mendeley_split_c/huawei_cn_(120).jpg,counterfeit,synthetic_counterfeit_proxy,17091
synthetic_counterfeit_00024,synthetic_counterfeit/synthetic_counterfeit_00024.jpg,mendeley_split_c/huawei_cn_(121).jpg,counterfeit,synthetic_counterfeit_proxy,67541
synthetic_counterfeit_00025,synthetic_counterfeit/synthetic_counterfeit_00025.jpg,mendeley_split_c/huawei_cn_(122).jpg,counterfeit,synthetic_counterfeit_proxy,18782
synthetic_counterfeit_00026,synthetic_counterfeit/synthetic_counterfeit_00026.jpg,mendeley_split_c/huawei_cn_(123).jpg,counterfeit,synthetic_counterfeit_proxy,83338
synthetic_counterfeit_00027,synthetic_counterfeit/synthetic_counterfeit_00027.jpg,mendeley_split_c/huawei_cn_(124).jpg,counterfeit,synthetic_counterfeit_proxy,68663
synthetic_counterfeit_00028,synthetic_counterfeit/synthetic_counterfeit_00028.jpg,mendeley_split_c/huawei_cn_(125).jpg,counterfeit,synthetic_counterfeit_proxy,62883
synthetic_counterfeit_00029,synthetic_counterfeit/synthetic_counterfeit_00029.jpg,mendeley_split_c/huawei_cn_(126).jpg,counterfeit,synthetic_counterfeit_proxy,52355
synthetic_counterfeit_00030,synthetic_counterfeit/synthetic_counterfeit_00030.jpg,mendeley_split_c/huawei_cn_(127).jpg,counterfeit,synthetic_counterfeit_proxy,50622
synthetic_counterfeit_00031,synthetic_counterfeit/synthetic_counterfeit_00031.jpg,mendeley_split_c/huawei_cn_(128).jpg,counterfeit,synthetic_counterfeit_proxy,88120
synthetic_counterfeit_00032,synthetic_counterfeit/synthetic_counterfeit_00032.jpg,mendeley_split_c/huawei_cn_(129).jpg,counterfeit,synthetic_counterfeit_proxy,40041
synthetic_counterfeit_00033,synthetic_counterfeit/synthetic_counterfeit_00033.jpg,mendeley_split_c/huawei_cn_(13).jpg,counterfeit,synthetic_counterfeit_proxy,52376
synthetic_counterfeit_00034,synthetic_counterfeit/synthetic_counterfeit_00034.jpg,mendeley_split_c/huawei_cn_(130).jpg,counterfeit,synthetic_counterfeit_proxy,86640
synthetic_counterfeit_00035,synthetic_counterfeit/synthetic_counterfeit_00035.jpg,mendeley_split_c/huawei_cn_(131).jpg,counterfeit,synthetic_counterfeit_proxy,32861
synthetic_counterfeit_00036,synthetic_counterfeit/synthetic_counterfeit_00036.jpg,mendeley_split_c/huawei_cn_(132).jpg,counterfeit,synthetic_counterfeit_proxy,42840
synthetic_counterfeit_00037,synthetic_counterfeit/synthetic_counterfeit_00037.jpg,mendeley_split_c/huawei_cn_(133).jpg,counterfeit,synthetic_counterfeit_proxy,44567
synthetic_counterfeit_00038,synthetic_counterfeit/synthetic_counterfeit_00038.jpg,mendeley_split_c/huawei_cn_(134).jpg,counterfeit,synthetic_counterfeit_proxy,41010
synthetic_counterfeit_00039,synthetic_counterfeit/synthetic_counterfeit_00039.jpg,mendeley_split_c/huawei_cn_(135).jpg,counterfeit,synthetic_counterfeit_proxy,21735
synthetic_counterfeit_00040,synthetic_counterfeit/synthetic_counterfeit_00040.jpg,mendeley_split_c/huawei_cn_(136).jpg,counterfeit,synthetic_counterfeit_proxy,81538
synthetic_counterfeit_00041,synthetic_counterfeit/synthetic_counterfeit_00041.jpg,mendeley_split_c/huawei_cn_(137).jpg,counterfeit,synthetic_counterfeit_proxy,17891
synthetic_counterfeit_00042,synthetic_counterfeit/synthetic_counterfeit_00042.jpg,mendeley_split_c/huawei_cn_(138).jpg,counterfeit,synthetic_counterfeit_proxy,34788
synthetic_counterfeit_00043,synthetic_counterfeit/synthetic_counterfeit_00043.jpg,mendeley_split_c/huawei_cn_(14).jpg,counterfeit,synthetic_counterfeit_proxy,68480
synthetic_counterfeit_00044,synthetic_counterfeit/synthetic_counterfeit_00044.jpg,mendeley_split_c/huawei_cn_(140).jpg,counterfeit,synthetic_counterfeit_proxy,39403
synthetic_counterfeit_00045,synthetic_counterfeit/synthetic_counterfeit_00045.jpg,mendeley_split_c/huawei_cn_(141).jpg,counterfeit,synthetic_counterfeit_proxy,93862
synthetic_counterfeit_00046,synthetic_counterfeit/synthetic_counterfeit_00046.jpg,mendeley_split_c/huawei_cn_(142).jpg,counterfeit,synthetic_counterfeit_proxy,68028
synthetic_counterfeit_00047,synthetic_counterfeit/synthetic_counterfeit_00047.jpg,mendeley_split_c/huawei_cn_(143).jpg,counterfeit,synthetic_counterfeit_proxy,17932
synthetic_counterfeit_00048,synthetic_counterfeit/synthetic_counterfeit_00048.jpg,mendeley_split_c/huawei_cn_(144).jpg,counterfeit,synthetic_counterfeit_proxy,24159
synthetic_counterfeit_00049,synthetic_counterfeit/synthetic_counterfeit_00049.jpg,mendeley_split_c/huawei_cn_(145).jpg,counterfeit,synthetic_counterfeit_proxy,29326
