image_id,true_label_int,n_test_appearances,n_wrong,wrong_in,apparent_cause
kaggle_fake_real_medicine_02169db735,1,8,4,model3_mobilenetv3small_frozen/split_a;model3_mobilenetv3small_frozen/split_b;model4_efficientnetb0_frozen/split_a;model4_efficientnetb0_frozen/split_b,mixed_incidental_confound
kaggle_fake_real_medicine_030573fd98,1,4,2,model2_smallcnn_gap/split_a;model3_mobilenetv3small_frozen/split_a,not_reviewed
kaggle_fake_real_medicine_0b5fcdf5de,0,4,2,model1_classical_colorhist_logreg/split_a;model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_0f1da8661b,0,4,1,model1_classical_colorhist_logreg/split_a,not_reviewed
kaggle_fake_real_medicine_1df50870ca,0,4,1,model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_2132e7ceb4,0,8,2,model1_classical_colorhist_logreg/split_a;model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_23f9ab233c,0,4,2,model1_classical_colorhist_logreg/split_b;model4_efficientnetb0_frozen/split_b,not_reviewed
kaggle_fake_real_medicine_26d1582ee3,1,4,1,model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_293391e3c5,0,4,1,model1_classical_colorhist_logreg/split_a,not_reviewed
kaggle_fake_real_medicine_33b1a93842,0,4,2,model1_classical_colorhist_logreg/split_b;model2_smallcnn_gap/split_b,not_reviewed
kaggle_fake_real_medicine_378059a366,0,8,4,model2_smallcnn_gap/split_a;model2_smallcnn_gap/split_b;model3_mobilenetv3small_frozen/split_a;model4_efficientnetb0_frozen/split_a,genuine_visual_similarity_gradcam_shows_correct_attention
kaggle_fake_real_medicine_396d1f8c90,1,4,2,model1_classical_colorhist_logreg/split_a;model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_39d4f4c626,0,4,1,model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_3e84e186df,0,4,1,model1_classical_colorhist_logreg/split_a,not_reviewed
kaggle_fake_real_medicine_41d91fd70e,0,4,2,model1_classical_colorhist_logreg/split_b;model2_smallcnn_gap/split_b,not_reviewed
kaggle_fake_real_medicine_61643b3aef,1,4,1,model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_6a0d82961a,1,4,3,model2_smallcnn_gap/split_b;model3_mobilenetv3small_frozen/split_b;model4_efficientnetb0_frozen/split_b,genuine_visual_similarity_sachet_no_visible_defect
kaggle_fake_real_medicine_6b129e49a0,0,4,2,model3_mobilenetv3small_frozen/split_b;model4_efficientnetb0_frozen/split_b,not_reviewed
kaggle_fake_real_medicine_6e3f150413,0,4,2,model1_classical_colorhist_logreg/split_a;model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_82c705d9a3,1,4,2,model3_mobilenetv3small_frozen/split_b;model4_efficientnetb0_frozen/split_b,not_reviewed
kaggle_fake_real_medicine_85c7cfa357,0,8,1,model4_efficientnetb0_frozen/split_b,not_reviewed
kaggle_fake_real_medicine_87cff291d4,1,4,1,model2_smallcnn_gap/split_b,not_reviewed
kaggle_fake_real_medicine_87f5f98f0c,0,4,2,model1_classical_colorhist_logreg/split_a;model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_8ab00bce96,0,4,1,model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_98abc79a1f,0,4,1,model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_af8a40e59f,0,4,1,model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_b1ef0bed1a,1,4,2,model1_classical_colorhist_logreg/split_a;model2_smallcnn_gap/split_a,not_reviewed
kaggle_fake_real_medicine_b7d27bf9c8,0,4,1,model1_classical_colorhist_logreg/split_a,not_reviewed
kaggle_fake_real_medicine_c44a75d8f8,0,4,2,model1_classical_colorhist_logreg/split_b;model2_smallcnn_gap/split_b,not_reviewed
kaggle_fake_real_medicine_c4c9b1741a,0,4,1,model1_classical_colorhist_logreg/split_b,not_reviewed
kaggle_fake_real_medicine_c8e1ccb599,1,4,1,model2_smallcnn_gap/split_b,not_reviewed
kaggle_fake_real_medicine_c9ccae27b6,0,4,2,model3_mobilenetv3small_frozen/split_a;model4_efficientnetb0_frozen/split_a,not_reviewed
kaggle_fake_real_medicine_d04b0fc4a5,0,4,1,model1_classical_colorhist_logreg/split_a,not_reviewed
kaggle_fake_real_medicine_da9f2b55ac,1,4,1,model2_smallcnn_gap/split_b,not_reviewed
kaggle_fake_real_medicine_f57956b7d9,0,8,4,model1_classical_colorhist_logreg/split_a;model1_classical_colorhist_logreg/split_b;model2_smallcnn_gap/split_a;model2_smallcnn_gap/split_b,image_quality_100x100px_thumbnail_only_weak_models_affected
kaggle_fake_real_medicine_f61949b1d3,1,4,1,model2_smallcnn_gap/split_b,not_reviewed
