condition,image_id,predicted_class,correct,prob_counterfeit,border_mass_fraction,centre_mass_fraction
baseline,mendeley_split_c_00000,counterfeit,0,0.9152,0.1841,0.5892
baseline,mendeley_split_c_00001,counterfeit,0,0.9543,0.2413,0.4056
baseline,mendeley_split_c_00002,counterfeit,0,0.8945,0.2456,0.5007
baseline,mendeley_split_c_00003,counterfeit,0,0.6156,0.0429,0.7436
baseline,mendeley_split_c_00004,counterfeit,0,0.9021,0.1618,0.5628
baseline,mendeley_split_c_00005,counterfeit,0,0.762,0.0537,0.711
baseline,mendeley_split_c_00006,counterfeit,0,0.9626,0.149,0.5842
baseline,mendeley_split_c_00007,authentic,1,0.4575,0.8281,0.038
baseline,mendeley_split_c_00008,counterfeit,0,0.9574,0.0565,0.7122
baseline,mendeley_split_c_00009,counterfeit,0,0.691,0.1547,0.6127
baseline,mendeley_split_c_00010,counterfeit,0,0.9067,0.0794,0.6864
baseline,mendeley_split_c_00011,counterfeit,0,0.9483,0.3643,0.3445
baseline,mendeley_split_c_00012,counterfeit,0,0.6516,0.0718,0.7115
baseline,mendeley_split_c_00013,counterfeit,0,0.9872,0.1744,0.508
baseline,mendeley_split_c_00014,counterfeit,0,0.7993,0.1469,0.5888
baseline,mendeley_split_c_00015,authentic,1,0.4869,0.8274,0.0179
baseline,mendeley_split_c_00016,counterfeit,0,0.9753,0.0798,0.6625
baseline,mendeley_split_c_00017,counterfeit,0,0.66,0.0139,0.8191
baseline,mendeley_split_c_00018,counterfeit,0,0.6071,0.0459,0.7613
baseline,mendeley_split_c_00019,counterfeit,0,0.9045,0.1424,0.5588
baseline,mendeley_split_c_00020,counterfeit,0,0.9512,0.2242,0.4658
baseline,mendeley_split_c_00021,counterfeit,0,0.5938,0.207,0.5933
baseline,mendeley_split_c_00022,counterfeit,0,0.9843,0.1798,0.5088
baseline,mendeley_split_c_00023,counterfeit,0,0.5387,0.0154,0.806
baseline,mendeley_split_c_00024,counterfeit,0,0.9675,0.2284,0.5079
baseline,mendeley_split_c_00025,counterfeit,0,0.9443,0.0177,0.7853
baseline,mendeley_split_c_00026,counterfeit,0,0.8684,0.0512,0.734
baseline,mendeley_split_c_00027,counterfeit,0,0.8814,0.1955,0.5582
baseline,mendeley_split_c_00028,counterfeit,0,0.9886,0.1052,0.6104
baseline,mendeley_split_c_00029,authentic,1,0.4756,0.8218,0.0553
baseline,mendeley_split_c_00030,counterfeit,0,0.7492,0.1515,0.6403
baseline,mendeley_split_c_00031,counterfeit,0,0.6337,0.0553,0.7095
baseline,mendeley_split_c_00032,counterfeit,0,0.947,0.0814,0.6817
baseline,mendeley_split_c_00033,counterfeit,0,0.9923,0.1927,0.5287
baseline,mendeley_split_c_00034,counterfeit,0,0.7,0.0338,0.7545
baseline,mendeley_split_c_00035,counterfeit,0,0.8131,0.0907,0.7087
baseline,mendeley_split_c_00036,counterfeit,0,0.9399,0.1612,0.5185
baseline,mendeley_split_c_00037,counterfeit,0,0.8016,0.1606,0.529
baseline,mendeley_split_c_00038,counterfeit,0,0.8375,0.0571,0.7246
baseline,mendeley_split_c_00039,counterfeit,0,0.9944,0.106,0.6643
baseline,mendeley_split_c_00040,counterfeit,0,0.991,0.1746,0.5451
baseline,mendeley_split_c_00041,counterfeit,0,0.9869,0.3071,0.4126
baseline,mendeley_split_c_00042,counterfeit,0,0.9714,0.1893,0.5573
baseline,mendeley_split_c_00043,counterfeit,0,0.9669,0.0917,0.6702
baseline,mendeley_split_c_00044,counterfeit,0,0.8804,0.0993,0.65
baseline,mendeley_split_c_00045,counterfeit,0,0.8588,0.1338,0.6024
baseline,mendeley_split_c_00046,counterfeit,0,0.9354,0.101,0.6177
baseline,mendeley_split_c_00047,counterfeit,0,0.7177,0.1317,0.6596
baseline,mendeley_split_c_00048,counterfeit,0,0.9092,0.1243,0.5883
baseline,mendeley_split_c_00049,counterfeit,0,0.9203,0.3725,0.3562
baseline,mendeley_split_c_00050,counterfeit,0,0.8822,0.0849,0.6543
baseline,mendeley_split_c_00051,counterfeit,0,0.9596,0.1764,0.5348
baseline,mendeley_split_c_00052,counterfeit,0,0.5148,0.2989,0.4099
baseline,mendeley_split_c_00053,counterfeit,0,0.9871,0.2135,0.4766
baseline,mendeley_split_c_00054,counterfeit,0,0.8124,0.0882,0.6489
baseline,mendeley_split_c_00055,counterfeit,0,0.9767,0.159,0.5534
baseline,mendeley_split_c_00056,counterfeit,0,0.7733,0.0506,0.724
baseline,mendeley_split_c_00057,counterfeit,0,0.5613,0.083,0.678
baseline,mendeley_split_c_00058,counterfeit,0,0.9564,0.1591,0.5651
baseline,mendeley_split_c_00059,counterfeit,0,0.5737,0.0201,0.7801
baseline,mendeley_split_c_00060,counterfeit,0,0.9701,0.0899,0.6475
baseline,mendeley_split_c_00061,counterfeit,0,0.9735,0.3209,0.3476
baseline,mendeley_split_c_00062,counterfeit,0,0.9352,0.2465,0.3826
baseline,mendeley_split_c_00063,counterfeit,0,0.945,0.093,0.6865
baseline,mendeley_split_c_00064,counterfeit,0,0.9604,0.168,0.617
baseline,mendeley_split_c_00065,counterfeit,0,0.9607,0.0758,0.6838
baseline,mendeley_split_c_00066,counterfeit,0,0.9076,0.1011,0.6525
baseline,mendeley_split_c_00067,counterfeit,0,0.5163,0.0175,0.7964
baseline,mendeley_split_c_00068,counterfeit,0,0.6829,0.0511,0.7293
