model,image_id,predicted,correct,prob_authentic,border_mass_fraction,centre_mass_fraction
model3_mobilenetv3small_frozen,mendeley_split_c_00000,authentic,1,0.7884,0.8757,0.003
model3_mobilenetv3small_frozen,mendeley_split_c_00001,counterfeit,0,0.1651,0.8568,0.0012
model3_mobilenetv3small_frozen,mendeley_split_c_00002,authentic,1,0.9567,0.7001,0.1524
model3_mobilenetv3small_frozen,mendeley_split_c_00003,authentic,1,0.9948,0.7664,0.0794
model3_mobilenetv3small_frozen,mendeley_split_c_00004,authentic,1,0.6825,0.8879,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00005,authentic,1,0.8,0.7304,0.0418
model3_mobilenetv3small_frozen,mendeley_split_c_00006,authentic,1,0.8113,0.6964,0.115
model3_mobilenetv3small_frozen,mendeley_split_c_00007,authentic,1,0.9156,0.8744,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00008,authentic,1,0.5826,0.7612,0.0494
model3_mobilenetv3small_frozen,mendeley_split_c_00009,authentic,1,0.7551,0.4566,0.4802
model3_mobilenetv3small_frozen,mendeley_split_c_00010,authentic,1,0.8941,0.7706,0.0863
model3_mobilenetv3small_frozen,mendeley_split_c_00011,authentic,1,0.5408,0.7744,0.1172
model3_mobilenetv3small_frozen,mendeley_split_c_00012,authentic,1,0.9947,0.8301,0.015
model3_mobilenetv3small_frozen,mendeley_split_c_00013,authentic,1,0.7442,0.7986,0.0492
model3_mobilenetv3small_frozen,mendeley_split_c_00014,authentic,1,0.5621,0.6101,0.1789
model3_mobilenetv3small_frozen,mendeley_split_c_00015,authentic,1,0.9867,0.6579,0.1679
model3_mobilenetv3small_frozen,mendeley_split_c_00016,authentic,1,0.8612,0.7082,0.0719
model3_mobilenetv3small_frozen,mendeley_split_c_00017,authentic,1,0.9688,0.8778,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00018,authentic,1,0.9437,0.9162,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00019,authentic,1,0.8755,0.7054,0.097
model3_mobilenetv3small_frozen,mendeley_split_c_00020,counterfeit,0,0.352,0.7524,0.1272
model3_mobilenetv3small_frozen,mendeley_split_c_00021,counterfeit,0,0.3157,0.8371,0.0438
model3_mobilenetv3small_frozen,mendeley_split_c_00022,authentic,1,0.516,0.762,0.0258
model3_mobilenetv3small_frozen,mendeley_split_c_00023,counterfeit,0,0.3017,0.8318,0.0178
model3_mobilenetv3small_frozen,mendeley_split_c_00024,authentic,1,0.9966,0.7357,0.1115
model3_mobilenetv3small_frozen,mendeley_split_c_00025,authentic,1,0.9236,0.595,0.1854
model3_mobilenetv3small_frozen,mendeley_split_c_00026,counterfeit,0,0.4989,0.7946,0.0189
model3_mobilenetv3small_frozen,mendeley_split_c_00027,authentic,1,0.909,0.8424,0.032
model3_mobilenetv3small_frozen,mendeley_split_c_00028,authentic,1,0.8016,0.659,0.0984
model3_mobilenetv3small_frozen,mendeley_split_c_00029,counterfeit,0,0.4744,0.8509,0.022
model3_mobilenetv3small_frozen,mendeley_split_c_00030,authentic,1,0.9306,0.6681,0.1106
model3_mobilenetv3small_frozen,mendeley_split_c_00031,authentic,1,0.5365,0.6862,0.1318
model3_mobilenetv3small_frozen,mendeley_split_c_00032,counterfeit,0,0.1105,0.8551,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00033,counterfeit,0,0.0706,0.8806,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00034,authentic,1,0.9813,0.5126,0.2231
model3_mobilenetv3small_frozen,mendeley_split_c_00035,authentic,1,0.8519,0.6185,0.1522
model3_mobilenetv3small_frozen,mendeley_split_c_00036,authentic,1,0.645,0.807,0.0933
model3_mobilenetv3small_frozen,mendeley_split_c_00037,authentic,1,0.995,0.6242,0.1767
model3_mobilenetv3small_frozen,mendeley_split_c_00038,counterfeit,0,0.3379,0.8546,0.0371
model3_mobilenetv3small_frozen,mendeley_split_c_00039,authentic,1,0.621,0.9104,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00040,counterfeit,0,0.1517,0.9471,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00041,counterfeit,0,0.04,0.8568,0.1027
model3_mobilenetv3small_frozen,mendeley_split_c_00042,counterfeit,0,0.3396,0.6871,0.1896
model3_mobilenetv3small_frozen,mendeley_split_c_00043,authentic,1,0.7332,0.842,0.0355
model3_mobilenetv3small_frozen,mendeley_split_c_00044,authentic,1,0.8941,0.8398,0.0024
model3_mobilenetv3small_frozen,mendeley_split_c_00045,authentic,1,0.6709,0.6074,0.3052
model3_mobilenetv3small_frozen,mendeley_split_c_00046,counterfeit,0,0.4495,0.7503,0.0678
model3_mobilenetv3small_frozen,mendeley_split_c_00047,authentic,1,0.5169,0.8631,0.0295
model3_mobilenetv3small_frozen,mendeley_split_c_00048,counterfeit,0,0.2412,0.8563,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00049,counterfeit,0,0.1608,0.8434,0.0123
model3_mobilenetv3small_frozen,mendeley_split_c_00050,counterfeit,0,0.0048,0.8354,0.0363
model3_mobilenetv3small_frozen,mendeley_split_c_00051,authentic,1,0.9842,0.6,0.1807
model3_mobilenetv3small_frozen,mendeley_split_c_00052,authentic,1,0.9741,0.5586,0.1849
model3_mobilenetv3small_frozen,mendeley_split_c_00053,authentic,1,0.9405,0.6004,0.1449
model3_mobilenetv3small_frozen,mendeley_split_c_00054,authentic,1,0.6792,0.7674,0.0464
model3_mobilenetv3small_frozen,mendeley_split_c_00055,authentic,1,0.8416,0.7448,0.0906
model3_mobilenetv3small_frozen,mendeley_split_c_00056,authentic,1,0.9946,0.7821,0.0505
model3_mobilenetv3small_frozen,mendeley_split_c_00057,authentic,1,0.984,0.7333,0.1079
model3_mobilenetv3small_frozen,mendeley_split_c_00058,counterfeit,0,0.2815,0.9268,0.0209
model3_mobilenetv3small_frozen,mendeley_split_c_00059,authentic,1,0.5235,0.9589,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00060,authentic,1,0.5803,0.8417,0.0043
model3_mobilenetv3small_frozen,mendeley_split_c_00061,authentic,1,0.9013,0.6557,0.1698
model3_mobilenetv3small_frozen,mendeley_split_c_00062,authentic,1,0.9881,0.8078,0.0212
model3_mobilenetv3small_frozen,mendeley_split_c_00063,authentic,1,0.7831,0.7559,0.0929
model3_mobilenetv3small_frozen,mendeley_split_c_00064,authentic,1,0.8581,0.7204,0.0738
model3_mobilenetv3small_frozen,mendeley_split_c_00065,authentic,1,0.9087,0.6852,0.1526
model3_mobilenetv3small_frozen,mendeley_split_c_00066,authentic,1,0.8995,0.8257,0.0099
model3_mobilenetv3small_frozen,mendeley_split_c_00067,authentic,1,0.9831,0.8419,0.0621
model3_mobilenetv3small_frozen,mendeley_split_c_00068,authentic,1,0.9947,0.6482,0.1213
model3_mobilenetv3small_frozen,mendeley_split_c_00069,authentic,1,0.9866,0.865,0.0045
model3_mobilenetv3small_frozen,mendeley_split_c_00070,authentic,1,0.965,0.7653,0.0329
model3_mobilenetv3small_frozen,mendeley_split_c_00071,authentic,1,0.8002,0.847,0.0
model3_mobilenetv3small_frozen,mendeley_split_c_00072,authentic,1,0.9833,0.734,0.0606
model3_mobilenetv3small_frozen,mendeley_split_c_00073,authentic,1,0.983,0.7652,0.0437
model3_mobilenetv3small_frozen,mendeley_split_c_00074,authentic,1,0.8548,0.6771,0.1195
model3_mobilenetv3small_frozen,mendeley_split_c_00075,authentic,1,0.7172,0.6452,0.1569
model3_mobilenetv3small_frozen,mendeley_split_c_00076,authentic,1,0.8135,0.8971,0.0
