seed,model,condition,split_b_test_acc,split_b_test_n,split_c_acc,split_c_correct,split_c_n,split_d_acc,split_d_correct,split_d_n,epochs_run
42,model3_mobilenetv3small_frozen,normalized,0.9324,74,0.7733,116,150,0.7248,108,149,37
42,model3_mobilenetv3small_frozen,baseline,0.9459,74,0.6667,100,150,0.604,90,149,22
42,model2_smallcnn_gap,normalized,0.8649,74,0.86,129,150,0.4631,69,149,13
42,model2_smallcnn_gap,baseline,0.8649,74,0.0,0,150,0.1007,15,149,17
42,model4_efficientnetb0_frozen,normalized,0.9189,74,0.8067,121,150,0.8322,124,149,18
42,model4_efficientnetb0_frozen,baseline,0.9054,74,0.06,9,150,0.1611,24,149,23
43,model3_mobilenetv3small_frozen,normalized,0.9324,74,0.7333,110,150,0.6376,95,149,24
43,model3_mobilenetv3small_frozen,baseline,0.9459,74,0.7733,116,150,0.6644,99,149,27
43,model2_smallcnn_gap,normalized,0.8243,74,0.8867,133,150,0.7383,110,149,12
43,model2_smallcnn_gap,baseline,0.8649,74,0.0,0,150,0.1409,21,149,13
43,model4_efficientnetb0_frozen,normalized,0.9324,74,0.8933,134,150,0.906,135,149,28
43,model4_efficientnetb0_frozen,baseline,0.9054,74,0.1,15,150,0.2685,40,149,28
44,model3_mobilenetv3small_frozen,normalized,0.9459,74,0.6467,97,150,0.6376,95,149,39
44,model3_mobilenetv3small_frozen,baseline,0.9324,74,0.6733,101,150,0.5973,89,149,35
44,model2_smallcnn_gap,normalized,0.8243,74,0.9533,143,150,0.7919,118,149,15
44,model2_smallcnn_gap,baseline,0.8243,74,0.2333,35,150,0.5235,78,149,9
44,model4_efficientnetb0_frozen,normalized,0.9324,74,0.8867,133,150,0.8993,134,149,26
44,model4_efficientnetb0_frozen,baseline,0.9054,74,0.1067,16,150,0.2819,42,149,33
45,model3_mobilenetv3small_frozen,normalized,0.9324,74,0.7333,110,150,0.7181,107,149,43
45,model3_mobilenetv3small_frozen,baseline,0.9324,74,0.78,117,150,0.698,104,149,41
45,model2_smallcnn_gap,normalized,0.8514,74,0.94,141,150,0.5839,87,149,30
45,model2_smallcnn_gap,baseline,0.8514,74,0.0,0,150,0.0067,1,149,12
45,model4_efficientnetb0_frozen,normalized,0.9459,74,0.86,129,150,0.8591,128,149,30
45,model4_efficientnetb0_frozen,baseline,0.9054,74,0.1,15,150,0.255,38,149,25
46,model3_mobilenetv3small_frozen,normalized,0.9459,74,0.7333,110,150,0.7047,105,149,33
46,model3_mobilenetv3small_frozen,baseline,0.9459,74,0.68,102,150,0.6577,98,149,34
46,model2_smallcnn_gap,normalized,0.7568,74,0.9067,136,150,0.557,83,149,10
46,model2_smallcnn_gap,baseline,0.8649,74,0.02,3,150,0.1074,16,149,21
46,model4_efficientnetb0_frozen,normalized,0.9459,74,0.8533,128,150,0.8926,133,149,25
46,model4_efficientnetb0_frozen,baseline,0.9054,74,0.1333,20,150,0.2349,35,149,28
