model,split,n,brier,ece,mce,mean_confidence,accuracy,overconfidence
M1 hist+LR,A,76,0.2023,0.276,0.378,0.5661,0.8421,-0.276
M1 hist+LR,B,74,0.2065,0.2771,0.3719,0.5608,0.8378,-0.2771
M1 hist+LR,C,150,0.2952,0.5434,0.5516,0.5434,0.0,0.5434
M1 hist+LR,D,149,0.3096,0.5564,0.5564,0.5564,0.0,0.5564
M2 CNN,A,76,0.0985,0.0829,0.2765,0.7968,0.8684,-0.0717
M2 CNN,B,74,0.1178,0.1219,0.4265,0.837,0.8649,-0.0279
M2 CNN,C,150,0.1121,0.1177,0.9618,0.7897,0.86,-0.0703
M2 CNN,D,149,0.3559,0.2255,0.9759,0.6656,0.4631,0.2026
M3 MobileNetV3,A,76,0.0456,0.0498,0.716,0.942,0.9342,0.0077
M3 MobileNetV3,B,74,0.0516,0.0643,0.8522,0.9602,0.9324,0.0277
M3 MobileNetV3,C,150,0.1489,0.0834,0.2915,0.8089,0.7733,0.0356
M3 MobileNetV3,D,149,0.1825,0.117,0.2278,0.8006,0.7248,0.0758
M4 EfficientNet-B0,A,76,0.0214,0.0464,0.4799,0.9576,0.9868,-0.0292
M4 EfficientNet-B0,B,74,0.0529,0.0605,0.7475,0.9555,0.9189,0.0366
M4 EfficientNet-B0,C,150,0.1321,0.0979,0.3809,0.7813,0.8067,-0.0254
M4 EfficientNet-B0,D,149,0.1127,0.0551,0.1655,0.8146,0.8322,-0.0176
