feature_index,channel,bin,bin_low,bin_high,coefficient,baseline_mean_density,mean_abs_shap,mean_signed_shap
0,R,0,0,7,-0.21015773178967326,0.002115669091297234,0.0006531962819560992,8.567311309034989e-05
1,R,1,8,15,0.04696371636386796,0.0017957517828560013,9.467326125081907e-05,-3.6234991970408077e-05
2,R,2,16,23,0.16437820876345002,0.0022259740949951427,0.00043843524009824515,-6.516516755377975e-05
3,R,3,24,31,0.10281399073280358,0.001771160473117821,0.00015923905183208773,-7.354797791843155e-05
4,R,4,32,39,0.1107943034289717,0.001758711297018807,0.00017132319168026723,-8.571769093358299e-05
5,R,5,40,47,0.08960612538255179,0.0016345475132017097,0.0001344053702723169,-5.606052011733867e-05
6,R,6,48,55,0.08735117585233329,0.0014940755878244181,0.00012261774152734294,-4.326745414396461e-05
7,R,7,56,63,0.10026785288048942,0.0015502434232621638,0.00015288333653112649,-4.152166854552397e-05
8,R,8,64,71,0.08920290357291033,0.0016239126789108496,0.0001426693084178,-3.436383911486964e-05
9,R,9,72,79,0.09906991198104752,0.0017054464084741046,0.00013968831312081612,-5.154879829271628e-05
10,R,10,80,87,0.11472377938663039,0.0020013864920968385,0.00018480046135605697,-7.393645125538186e-05
11,R,11,88,95,0.14083959852293634,0.0023678974938189565,0.0002689546599252873,-0.00010516664283383216
12,R,12,96,103,0.13042771034691433,0.002515822177085121,0.0002869218815140689,-4.782317729587936e-05
13,R,13,104,111,0.1247201306435181,0.002622882300241525,0.0003093966093454872,-5.628826304027361e-06
14,R,14,112,119,0.1423833718705671,0.0027419310358071792,0.0003529899553367975,-2.218594781587603e-06
15,R,15,120,127,0.1489062394469008,0.0029658696625971836,0.0003749573059879765,2.4682912093432454e-07
16,R,16,128,135,0.15830942467875345,0.0032869174455496504,0.0004272222703200595,1.3706345600265752e-05
17,R,17,136,143,0.14001098118648453,0.00367261860101183,0.0004683804945630239,7.31952916136412e-05
18,R,18,144,151,0.19821048810554714,0.004046449774106069,0.0007450698115819503,0.00010997781039207213
19,R,19,152,159,0.16690128289964,0.004171820793049363,0.000718389209351428,0.00018623124253196654
20,R,20,160,167,0.1903306591128007,0.0046530749576616385,0.0007501213821037486,0.0001117292701075983
21,R,21,168,175,0.2325537300180152,0.005073604497602615,0.0008478011886790237,4.540560207254576e-05
22,R,22,176,183,0.01809653674214202,0.004313723257160008,6.714786959866296e-05,2.4806628839997784e-05
23,R,23,184,191,-0.017360109360460466,0.004478304993872552,7.061822839792314e-05,-2.3860977477328868e-05
24,R,24,192,199,0.014375522761228752,0.004693981387197734,7.197462771275902e-05,2.9217429895595655e-05
25,R,25,200,207,-0.03625790596550109,0.004967179394079066,0.00015296015189302027,-3.659816656295181e-05
26,R,26,208,215,0.026926443367645634,0.005735274020322416,0.0001256835802234917,-3.0636342581739367e-06
27,R,27,216,223,0.28449607107056113,0.006733315536035841,0.001768885240964214,-0.00028497021674904173
28,R,28,224,231,0.15340640600159033,0.004951234120880499,0.0006570376492645044,-0.00015780249040312004
29,R,29,232,239,-0.008978611934290184,0.002777066462745812,2.9501735836623073e-05,-2.2224171565048664e-06
30,R,30,240,247,-0.142038695615685,0.002176721693141541,0.0003836851987829442,-8.242456865792256e-05
31,R,31,248,255,-2.860863262604722,0.02637743155297835,0.07904515729966215,0.0006034212866981564
32,G,0,0,7,-0.13536515136320465,0.0008732147993125825,0.00010715159061985762,0.00010495534636157218
33,G,1,8,15,0.011024603426472646,0.0005228514396830158,5.6779252440516e-06,-2.8629784960452704e-06
34,G,2,16,23,0.07441315738049396,0.001021258112620049,0.00014046614293414657,3.431128060815637e-05
35,G,3,24,31,0.10202410614867435,0.0013096198300748892,0.0001366250368977455,-4.0680918159073677e-05
36,G,4,32,39,0.0972723691196972,0.0015001745675948966,0.00012035991948160906,-6.542354149803046e-05
37,G,5,40,47,0.09663392673516101,0.001790015671447152,0.00013157691562346282,-7.029847993522761e-05
38,G,6,48,55,0.10033956573935104,0.0020460541917659914,0.00016957534067489063,-5.993306810265887e-05
39,G,7,56,63,0.1044815586454292,0.0021452917104341756,0.0001754547964939516,-4.969087757876348e-05
40,G,8,64,71,0.1284353465157526,0.0024301294178385655,0.00022316647930125367,-6.208575200467755e-05
41,G,9,72,79,0.14850265399687385,0.0027234805752658206,0.00028484757575965915,-7.37048639410679e-05
42,G,10,80,87,0.247610446663863,0.003405805681647658,0.0006435982378280177,-0.00013174606072167817
43,G,11,88,95,0.2551306643074435,0.003576625962885157,0.0008053279609483074,-2.351545998550109e-06
44,G,12,96,103,0.23031249261154868,0.0035397948241796704,0.0007456159576812415,8.440695850859329e-05
45,G,13,104,111,0.24361109467944952,0.003672479036257358,0.0009336637851088855,0.00027023054896143034
46,G,14,112,119,0.26940076368130966,0.0039385801753737204,0.0009631173929435593,0.000167654802840157
47,G,15,120,127,0.2694669158501309,0.003966367517989339,0.001013037827381743,0.00020355268711903506
48,G,16,128,135,0.2630930327345258,0.004058668668360198,0.0007395526869015502,-4.0144575209926864e-05
49,G,17,136,143,0.2057248170047983,0.0040262826670846895,0.0007129975294648357,0.0001381799633176746
50,G,18,144,151,0.15713012595383757,0.003973750493500976,0.00040247318896203046,1.1182448722370322e-05
51,G,19,152,159,0.11394769770316301,0.004035563723257159,0.0002952438741154524,6.743218574411266e-06
52,G,20,160,167,0.0737150174357464,0.004178094228762934,0.00019964621776098784,-5.16158915355889e-06
53,G,21,168,175,-0.001368707177414811,0.004070092043513831,4.006331017663276e-06,-5.864430220036198e-07
54,G,22,176,183,-0.03681353408422178,0.00403314925300477,0.00010552036221552245,-2.0479515518762578e-05
55,G,23,184,191,-0.029831730383773767,0.004483259542656346,8.425523539050845e-05,-1.5204780289224387e-07
56,G,24,192,199,-0.053341504065221,0.004650995442819982,0.00019133578190817603,-2.7291800821639017e-05
57,G,25,200,207,-0.07588971244941217,0.0049461051161536025,0.00034602182011791625,-7.88475934335886e-05
58,G,26,208,215,0.00676640970474525,0.005250663323365058,3.1590455578155015e-05,1.989382783581016e-06
59,G,27,216,223,0.08920424813526903,0.005214934746219917,0.0004194055885187048,-9.94094285554728e-05
60,G,28,224,231,0.08174328224808086,0.004306479846402848,0.00034101339117740686,-0.00010166247066773943
61,G,29,232,239,-0.08041881828381772,0.0021166390663408217,0.00018855336531628788,7.86762238561829e-06
62,G,30,240,247,-0.11289325372120933,0.001452638812221317,0.00019086388412234008,-3.727816424688819e-05
63,G,31,248,255,-2.843651637043572,0.02574093951196551,0.07846840728007205,-0.002345939085422125
64,B,0,0,7,-0.03817592818207654,0.001652014042224034,8.141047058079083e-05,2.689897570001376e-05
65,B,1,8,15,0.20650138290203973,0.0016730394724854235,0.0005919446908954126,8.438050714423873e-05
66,B,2,16,23,0.34837217900046424,0.00254530523146759,0.001803966895480085,0.0005675643781397578
67,B,3,24,31,0.34287590140891766,0.002541662591375839,0.0013336186199616508,0.00017398746064852406
68,B,4,32,39,0.26215541433511086,0.0021202886846702997,0.0007018422174732797,1.2837075776726456e-05
69,B,5,40,47,0.19046424995178746,0.0018303429072521874,0.00040278923712566423,8.817460944982687e-06
70,B,6,48,55,0.1639563343760538,0.0017772873658391934,0.0003490803177257861,5.088616032147622e-05
71,B,7,56,63,0.1617043988336814,0.0018621497147966325,0.00032993652097909626,3.124944167944722e-05
72,B,8,64,71,0.13120965001301935,0.0018979829655076338,0.0002265104759974159,-1.1568895359843899e-05
73,B,9,72,79,0.1361807650763305,0.00206341604722246,0.00024204732691403058,-1.9805803859647945e-05
74,B,10,80,87,0.14723754547212603,0.0022971242068255842,0.00026756288065033987,-5.103622874942182e-05
75,B,11,88,95,0.18920062648329652,0.0029052287767785704,0.0004276472052446324,-0.00012768586077166648
76,B,12,96,103,0.21756483882522243,0.0031870728201995086,0.0005991006899187506,-9.562290043393283e-05
77,B,13,104,111,0.2056610035341665,0.00316208375091108,0.0005628876243041483,-2.1346557887829536e-05
