model,quantity,n,k,value_ci
M1 hist+LR,in-distribution authentic acc,39,27,"0.692 [0.536, 0.814]"
M1 hist+LR,"Split C, baseline",150,0,"0.000 [0.000, 0.025]"
M1 hist+LR,"Split C, 3-way normalised",150,0,"0.000 [0.000, 0.025]"
M1 hist+LR,synthetic proxy accuracy,300,150,"0.500 [0.444, 0.556]"
M1 hist+LR,synthetic proxy ROC-AUC,300,,"0.895 [0.859, 0.932]"
M2 CNN,in-distribution authentic acc,39,33,"0.846 [0.703, 0.928]"
M2 CNN,"Split C, baseline",150,0,"0.000 [0.000, 0.025]"
M2 CNN,"Split C, 3-way normalised",150,129,"0.860 [0.795, 0.907]"
M2 CNN,synthetic proxy accuracy,300,190,"0.633 [0.577, 0.686]"
M2 CNN,synthetic proxy ROC-AUC,300,,"0.794 [0.743, 0.845]"
M3 MobileNetV3,in-distribution authentic acc,39,38,"0.974 [0.868, 0.995]"
M3 MobileNetV3,"Split C, baseline",150,104,"0.693 [0.615, 0.762]"
M3 MobileNetV3,"Split C, 3-way normalised",150,116,"0.773 [0.700, 0.833]"
M3 MobileNetV3,synthetic proxy accuracy,300,145,"0.483 [0.427, 0.540]"
M3 MobileNetV3,synthetic proxy ROC-AUC,300,,"0.503 [0.438, 0.569]"
M4 EfficientNet-B0,in-distribution authentic acc,39,38,"0.974 [0.868, 0.995]"
M4 EfficientNet-B0,"Split C, baseline",150,5,"0.033 [0.014, 0.076]"
M4 EfficientNet-B0,"Split C, 3-way normalised",150,121,"0.807 [0.736, 0.862]"
M4 EfficientNet-B0,synthetic proxy accuracy,300,165,"0.550 [0.493, 0.605]"
M4 EfficientNet-B0,synthetic proxy ROC-AUC,300,,"0.570 [0.505, 0.634]"
