model,split,n,accuracy,ci_lo,ci_hi
"capture pattern (file extension), deterministic rule",whole pool,510,1.0,0.9925240387739438,0.9999999999999998
"metadata LR (format, 1 feature)",Split A test,76,1.0,0.9518864149133673,0.9999999999999999
"metadata LR (encoded file size, 1 feature)",Split A test,76,0.9736842105263158,0.909033788991115,0.9927533409268122
"metadata LR (short-side resolution, 1 feature)",Split A test,76,0.9473684210526315,0.8723432742176017,0.9793445707048848
"metadata LR (aspect ratio, 1 feature)",Split A test,76,0.6447368421052632,0.5325638551147776,0.7429822123601446
"metadata LR (header metadata, all four, 4 features)",Split A test,76,1.0,0.9518864149133673,0.9999999999999999
"metadata LR (header metadata minus format, 3 features)",Split A test,76,1.0,0.9518864149133673,0.9999999999999999
"metadata LR (mean brightness (pixel-derived), 1 feature)",Split A test,76,0.8289473684210527,0.7290212529833467,0.8972198094596583
"metadata LR (header metadata minus format, plus brightness, 4 features)",Split A test,76,1.0,0.9518864149133673,0.9999999999999999
"metadata LR (format, 1 feature)",Split B test,74,1.0,0.950650220581595,1.0
"metadata LR (encoded file size, 1 feature)",Split B test,74,1.0,0.950650220581595,1.0
"metadata LR (short-side resolution, 1 feature)",Split B test,74,0.9459459459459459,0.8690962359304523,0.9787809878315109
"metadata LR (aspect ratio, 1 feature)",Split B test,74,0.5945945945945946,0.48075838903759777,0.6990943553967581
"metadata LR (header metadata, all four, 4 features)",Split B test,74,1.0,0.950650220581595,1.0
"metadata LR (header metadata minus format, 3 features)",Split B test,74,1.0,0.950650220581595,1.0
"metadata LR (mean brightness (pixel-derived), 1 feature)",Split B test,74,0.7162162162162162,0.6048274583407924,0.8062645289377353
"metadata LR (header metadata minus format, plus brightness, 4 features)",Split B test,74,1.0,0.950650220581595,1.0
