image_id,split
kaggle_fake_real_medicine_73a6ece8e9,train
kaggle_fake_real_medicine_0328be33cf,train
kaggle_fake_real_medicine_5c8597c371,train
kaggle_fake_real_medicine_036597d7b3,train
kaggle_fake_real_medicine_99dc72e0c5,train
kaggle_fake_real_medicine_e4d1e5b8f5,train
kaggle_fake_real_medicine_b54b7ff396,train
kaggle_fake_real_medicine_988dbe3d3d,train
kaggle_fake_real_medicine_4a172a5783,train
kaggle_fake_real_medicine_a8e282a356,train
kaggle_fake_real_medicine_78e572ee28,train
kaggle_fake_real_medicine_00b0378aeb,train
kaggle_fake_real_medicine_e54f1413e6,train
kaggle_fake_real_medicine_584654950e,train
kaggle_fake_real_medicine_edd956a181,train
kaggle_fake_real_medicine_13f55e7bae,train
kaggle_fake_real_medicine_fe44cc5e9d,train
kaggle_fake_real_medicine_6c48c2b073,train
kaggle_fake_real_medicine_d97567946f,train
kaggle_fake_real_medicine_c2c11d3bdd,train
kaggle_fake_real_medicine_50444f4c85,train
kaggle_fake_real_medicine_8375bf7fdb,train
kaggle_fake_real_medicine_e560d3d930,train
kaggle_fake_real_medicine_f61949b1d3,train
kaggle_fake_real_medicine_bd0cfe0cb4,train
kaggle_fake_real_medicine_270967078e,train
kaggle_fake_real_medicine_8d48cabbe1,train
kaggle_fake_real_medicine_4e37e908bb,train
kaggle_fake_real_medicine_5d72b67a63,train
kaggle_fake_real_medicine_c3c3d47e1c,train
kaggle_fake_real_medicine_f0cae78738,train
kaggle_fake_real_medicine_77d7798a4a,train
kaggle_fake_real_medicine_8e01740418,train
kaggle_fake_real_medicine_89a3cb0f36,train
kaggle_fake_real_medicine_58801704ed,train
kaggle_fake_real_medicine_12a224b226,train
kaggle_fake_real_medicine_e833313f43,train
kaggle_fake_real_medicine_02fb0de709,train
kaggle_fake_real_medicine_032068ff32,train
kaggle_fake_real_medicine_12842db162,train
kaggle_fake_real_medicine_34ab2f2d9a,train
kaggle_fake_real_medicine_7019b8e00b,train
kaggle_fake_real_medicine_ceca214aef,train
kaggle_fake_real_medicine_5ee8edd1a9,train
kaggle_fake_real_medicine_7446e607cc,train
kaggle_fake_real_medicine_96200fd98f,train
