image_id,product_identity,split,cv_fold
kaggle_fake_real_medicine_abe9a0392b,pid_00417,val,
kaggle_fake_real_medicine_f8bd42c191,pid_00418,train,1
kaggle_fake_real_medicine_37f2de3e47,pid_00419,train,4
kaggle_fake_real_medicine_bb072fcacf,pid_00420,val,
kaggle_fake_real_medicine_9194880064,pid_00421,train,3
kaggle_fake_real_medicine_25067d5759,pid_00422,train,3
kaggle_fake_real_medicine_b1ef0bed1a,pid_00423,train,0
kaggle_fake_real_medicine_396d1f8c90,pid_00424,train,0
kaggle_fake_real_medicine_b309605a66,pid_00425,train,3
kaggle_fake_real_medicine_5c8597c371,pid_00426,train,3
kaggle_fake_real_medicine_34ab2f2d9a,pid_00427,train,0
kaggle_fake_real_medicine_11604ed3c3,pid_00428,train,1
kaggle_fake_real_medicine_58801704ed,pid_00429,val,
kaggle_fake_real_medicine_1dc53f3866,pid_00430,test,
kaggle_fake_real_medicine_cef5c75a62,pid_00431,val,
kaggle_fake_real_medicine_4c0e6ed34f,pid_00432,test,
kaggle_fake_real_medicine_a81e5a0d51,pid_00433,train,3
kaggle_fake_real_medicine_cc8cf2a429,pid_00434,train,4
kaggle_fake_real_medicine_ee08abeab4,pid_00435,train,2
kaggle_fake_real_medicine_64dd03edff,pid_00436,test,
kaggle_fake_real_medicine_bb65355f8c,pid_00437,train,4
kaggle_fake_real_medicine_fe44cc5e9d,pid_00438,train,1
kaggle_fake_real_medicine_bdd667d804,pid_00439,train,1
kaggle_fake_real_medicine_e0ee096bd4,pid_00440,val,
kaggle_fake_real_medicine_5051676f43,pid_00441,test,
kaggle_fake_real_medicine_82c705d9a3,pid_00442,test,
kaggle_fake_real_medicine_06b6d37f6b,pid_00443,train,0
kaggle_fake_real_medicine_02fb0de709,pid_00444,test,
kaggle_fake_real_medicine_b480e1c8f2,pid_00445,train,2
kaggle_fake_real_medicine_e54f1413e6,pid_00446,train,1
kaggle_fake_real_medicine_ceca214aef,pid_00447,train,3
kaggle_fake_real_medicine_d888730101,pid_00448,train,0
kaggle_fake_real_medicine_df4942e36c,pid_00449,train,1
kaggle_fake_real_medicine_397d25585e,pid_00450,train,0
kaggle_fake_real_medicine_ed50ba731d,pid_00451,train,2
kaggle_fake_real_medicine_1f137669d8,pid_00452,test,
kaggle_fake_real_medicine_4908070dd8,pid_00453,train,0
kaggle_fake_real_medicine_28de2a6574,pid_00454,train,0
kaggle_fake_real_medicine_eb40c5afee,pid_00455,train,0
kaggle_fake_real_medicine_a877ae06a7,pid_00456,val,
kaggle_fake_real_medicine_9a1295c310,pid_00457,train,1
kaggle_fake_real_medicine_18d048cab3,pid_00458,train,0
kaggle_fake_real_medicine_5ee8edd1a9,pid_00459,val,
kaggle_fake_real_medicine_0a680b1608,pid_00460,train,1
kaggle_fake_real_medicine_73a6ece8e9,pid_00461,train,4
kaggle_fake_real_medicine_7446e607cc,pid_00461,train,4
kaggle_fake_real_medicine_33b679aa91,pid_00460,train,1
kaggle_fake_real_medicine_c6e7f52827,pid_00462,train,3
kaggle_fake_real_medicine_5aea38a804,pid_00463,test,
kaggle_fake_real_medicine_177fc57119,pid_00464,train,1
kaggle_fake_real_medicine_bed27cb29b,pid_00465,test,
kaggle_fake_real_medicine_155d6ed1b1,pid_00466,test,
kaggle_fake_real_medicine_988dbe3d3d,pid_00467,train,4
kaggle_fake_real_medicine_ca0154ce9b,pid_00468,train,3
kaggle_fake_real_medicine_1815be2b4b,pid_00469,train,4
kaggle_fake_real_medicine_e6f009da18,pid_00470,train,0
kaggle_fake_real_medicine_5469052ee7,pid_00471,val,
kaggle_fake_real_medicine_1f8b2ac73f,pid_00472,val,
kaggle_fake_real_medicine_baaa90a0db,pid_00473,train,4
kaggle_fake_real_medicine_ae2efd1c6c,pid_00474,train,1
kaggle_fake_real_medicine_77d7798a4a,pid_00475,train,3
kaggle_fake_real_medicine_89a3cb0f36,pid_00476,train,4
kaggle_fake_real_medicine_c934d254bd,pid_00477,val,
kaggle_fake_real_medicine_c4de85a2db,pid_00478,train,2
kaggle_fake_real_medicine_20c4a33635,pid_00479,train,4
kaggle_fake_real_medicine_ad08294037,pid_00480,test,
kaggle_fake_real_medicine_8375bf7fdb,pid_00481,train,1
kaggle_fake_real_medicine_046bd91b0a,pid_00482,train,0
